UEJ,NOMBRE UEJ,RUBRO,TIPO,CTA,"SUB
CTA",OBJ,ORD,"SOR
ORD",ITEM,"SUB
ITEM",FUENTE,REC,SIT,DESCRIPCION,OBLIGACION,ORDEN PAGO,PAGOS
1/01/02,CÁMARA DE REPRESENTANTES,C-0101-1000-1,C,101,1000,1,,,,,Nación,10,CSF,IMPLEMENTACION DE ESTRATEGIAS DE PARTICIPACIÓN Y COMUNICACIÓN EN LA ACTIVIDAD LEGISLATIVA DE LA CÁMARA DE REPRESENTANTES A NIVEL NACIONAL,"$209,440,000.00","$209,440,000.00","$209,440,000.00"
1/01/02,CÁMARA DE REPRESENTANTES,C-0199-1000-2,C,199,1000,2,,,,,Nación,11,CSF,MEJORAMIENTO DE LAS CONDICIONES DE SEGURIDAD Y PROTECCION EN LOS DESPLAZAMIENTOS DE LOS REPRESENTANTES A LA CAMARA. NACIONAL,"$7,281,337,673.00","$7,281,337,673.00","$7,281,337,673.00"
1/01/02,CÁMARA DE REPRESENTANTES,C-0199-1000-4,C,199,1000,4,,,,,Nación,11,CSF,MEJORAMIENTO DEL SISTEMA DE GESTION DOCUMENTAL Y DE LA INFORMACION EN LA CAMARA DE REPRESENTANTES BOGOTA,"$10,000,000.00","$10,000,000.00","$10,000,000.00"
2/01/01,PRESIDENCIA DE LA REPUBLICA - GESTION GENERAL,A-1-0-1-9,A,1,0,1,9,,,,Nación,10,CSF,"HORAS EXTRAS, DIAS FESTIVOS E INDEMNIZACION POR VACACIONES","$175,629,167.82","$175,629,167.82","$175,629,167.82"
2/01/01,PRESIDENCIA DE LA REPUBLICA - GESTION GENERAL,A-1-0-2,A,1,0,2,,,,,Nación,10,CSF,SERVICIOS PERSONALES INDIRECTOS,"$167,774,764.00","$167,774,764.00","$167,774,764.00"
2/01/01,PRESIDENCIA DE LA REPUBLICA - GESTION GENERAL,A-1-0-5,A,1,0,5,,,,,Nación,10,CSF,CONTRIBUCIONES INHERENTES A LA NOMINA SECTOR PRIVADO Y PUBLICO,"$1,125,446,100.00","$1,125,446,100.00","$1,125,446,100.00"
2/01/01,PRESIDENCIA DE LA REPUBLICA - GESTION GENERAL,A-2-0-4,A,2,0,4,,,,,Nación,10,CSF,ADQUISICION DE BIENES Y SERVICIOS,"$5,225,976,171.66","$5,225,976,171.66","$5,225,976,171.66"
2/01/01,PRESIDENCIA DE LA REPUBLICA - GESTION GENERAL,A-3-1-1-11,A,3,1,1,11,,,,Nación,10,CSF,FONDO DE PROGRAMAS ESPECIALES PARA LA PAZ : PROGRAMA DESMOVILIZADOS,"$11,244,466,628.88","$11,244,466,628.88","$11,244,466,628.88"
2/01/01,PRESIDENCIA DE LA REPUBLICA - GESTION GENERAL,A-3-1-1-11,A,3,1,1,11,,,,Nación,11,CSF,FONDO DE PROGRAMAS ESPECIALES PARA LA PAZ : PROGRAMA DESMOVILIZADOS,"$2,335,426,459.10","$2,335,426,459.10","$2,335,426,459.10"
2/01/01,PRESIDENCIA DE LA REPUBLICA - GESTION GENERAL,A-3-1-1-18,A,3,1,1,18,,,,Nación,10,CSF,PLAN DE PROMOCION DE COLOMBIA EN EL EXTERIOR,"$170,379.40","$170,379.40","$170,379.40"
2/01/01,PRESIDENCIA DE LA REPUBLICA - GESTION GENERAL,A-3-6-1-3,A,3,6,1,3,,,,Nación,10,CSF,FALLOS CORTE INTERAMERICANA DE DERECHOS HUMANOS,"$82,979,960.00","$82,979,960.00","$82,979,960.00"
2/01/01,PRESIDENCIA DE LA REPUBLICA - GESTION GENERAL,A-3-6-3-69,A,3,6,3,69,,,,Nación,10,CSF,TRANSFERENCIAS PARA LA ESTRATEGIA  DE DIFUSION DE LA GESTION GUBERNAMENTAL PARA EL DESARROLLO SOCIAL  Y COMUNITARIO,"$37,623,082.00","$37,623,082.00","$37,623,082.00"
2/01/01,PRESIDENCIA DE LA REPUBLICA - GESTION GENERAL,A-3-6-3-167,A,3,6,3,167,,,,Nación,10,CSF,"DECISIONES JUDICIALES, CUASIJUDICIALES O SOLUCIONES AMISTOSAS DE ORGANOS INTERNACIONALES DE DERECHOS HUMANOS - DISTRIBUCION PREVIO CONCEPTO DGPPN","$175,661,143.00","$175,661,143.00","$175,661,143.00"
2/01/01,PRESIDENCIA DE LA REPUBLICA - GESTION GENERAL,C-0201-1000-1,C,201,1000,1,,,,,Nación,11,CSF,DESARROLLO  DE LA POLÍTICA INTERSECTORIAL DE PREVENCIÓN DE RECLUTAMIENTO NIVEL NACIONAL,"$49,461,474.00","$49,461,474.00","$49,461,474.00"
2/01/01,PRESIDENCIA DE LA REPUBLICA - GESTION GENERAL,C-0201-1000-2,C,201,1000,2,,,,,Nación,11,CSF,"FORTALECIMIENTO Y CONSOLIDACION DE LA RESPUESTA ARTICULADA DEL ESTADO COLOMBIANO EN DDHH Y DIH, EN EL MARCO DE LA CONSTRUCCION DE UNA CULTURA EN LA MATERIA NACIONAL","$290,104,910.00","$290,104,910.00","$290,104,910.00"
2/01/01,PRESIDENCIA DE LA REPUBLICA - GESTION GENERAL,C-0202-1000-1,C,202,1000,1,,,,,Nación,11,CSF,IMPLEMENTACIÓN DE ESTRATEGIAS EN FAVOR DE LA PRIMERA INFANCIA,"$211,904,580.27","$211,904,580.27","$211,904,580.27"
2/01/01,PRESIDENCIA DE LA REPUBLICA - GESTION GENERAL,C-0203-1000-1,C,203,1000,1,,,,,Nación,11,CSF,DESARROLLO DE LAS ESTRATEGIAS DE LA POLÍTICA PÚBLICA INTEGRAL ANTICORRUPCIÓN,"$461,505,395.00","$461,505,395.00","$461,505,395.00"
2/01/01,PRESIDENCIA DE LA REPUBLICA - GESTION GENERAL,C-0204-1000-1,C,204,1000,1,,,,,Nación,11,CSF,FORTALECIMIENTO DEL FUNCIONAMIENTO DEL SISTEMA NACIONAL DE JUVENTUD,"$36,668,150.00","$36,668,150.00","$36,668,150.00"
2/01/01,PRESIDENCIA DE LA REPUBLICA - GESTION GENERAL,C-0205-1000-1,C,205,1000,1,,,,,Nación,11,CSF,"IMPLEMENTACIÓN DEL ENFOQUE DE GÉNERO EN LOS PLANES, PROGRAMAS  Y PROYECTOS A NIVEL NACIONAL","$69,054,974.57","$69,054,974.57","$69,054,974.57"
2/01/01,PRESIDENCIA DE LA REPUBLICA - GESTION GENERAL,C-0206-1000-1,C,206,1000,1,,,,,Nación,11,CSF,FORTALECIMIENTO Y SOSTENIBILIDAD DE LAS CAPACIDADES INSTITUCIONALES Y TERRITORIALES PARA LA IMPLEMENTACIÓN DE LA POLÍTICA DE ACCIÓN INTEGRAL CONTRA MINAS ANTIPERSONAL,"$118,067,183.00","$118,067,183.00","$118,067,183.00"
2/01/01,PRESIDENCIA DE LA REPUBLICA - GESTION GENERAL,C-0299-1000-1,C,299,1000,1,,,,,Nación,11,CSF,"INNOVACIÓN PARA MEJORAR LA INTEGRIDAD, DISPONIBILIDAD Y CONFIDENCIALIDAD DE LA INFORMACIÓN DE TICS A NIVEL NACIONAL","$261,259,426.47","$261,259,426.47","$261,259,426.47"
2/01/01,PRESIDENCIA DE LA REPUBLICA - GESTION GENERAL,C-0299-1000-2,C,299,1000,2,,,,,Nación,11,CSF,ADECUACIÓN Y MANTENIMIENTO DE LAS SEDES DE LA PRESIDENCIA DE LA REPÚBLICA,"$712,852,329.53","$712,852,329.53","$712,852,329.53"
2/01/01,PRESIDENCIA DE LA REPUBLICA - GESTION GENERAL,C-0299-1000-3,C,299,1000,3,,,,,Nación,11,CSF,"FORTALECIMIENTO DE LA GESTIÓN DOCUMENTAL DEL DEPARTAMENTO ADMINISTRATIVO DE LA PRESIDENCIA DE LA REPÚBLICA - DAPRE EN , , BOGOTÁ","$63,913,410.00","$63,913,410.00","$63,913,410.00"
2/09/00,"AGENCIA PRESIDENCIAL DE COOPERACIÓN INTERNACIONAL DE COLOMBIA, APC - COLOMBIA",A-1-0-1-9,A,1,0,1,9,,,,Nación,10,CSF,"HORAS EXTRAS, DIAS FESTIVOS E INDEMNIZACION POR VACACIONES","$73,774.00","$73,774.00","$73,774.00"
2/09/00,"AGENCIA PRESIDENCIAL DE COOPERACIÓN INTERNACIONAL DE COLOMBIA, APC - COLOMBIA",A-1-0-2,A,1,0,2,,,,,Nación,11,CSF,SERVICIOS PERSONALES INDIRECTOS,"$6,000,000.00","$6,000,000.00","$6,000,000.00"
2/09/00,"AGENCIA PRESIDENCIAL DE COOPERACIÓN INTERNACIONAL DE COLOMBIA, APC - COLOMBIA",A-2-0-4,A,2,0,4,,,,,Nación,10,CSF,ADQUISICION DE BIENES Y SERVICIOS,"$9,534,194.00","$9,534,194.00","$9,534,194.00"
2/09/00,"AGENCIA PRESIDENCIAL DE COOPERACIÓN INTERNACIONAL DE COLOMBIA, APC - COLOMBIA",A-2-0-4,A,2,0,4,,,,,Nación,11,CSF,ADQUISICION DE BIENES Y SERVICIOS,"$52,669,901.68","$52,669,901.68","$52,669,901.68"
2/09/00,"AGENCIA PRESIDENCIAL DE COOPERACIÓN INTERNACIONAL DE COLOMBIA, APC - COLOMBIA",A-3-4-3-1,A,3,4,3,1,,,,Nación,10,CSF,FONDO DE COOPERACION Y ASISTENCIA INTERNACIONAL  (LEY 318 DE 1996),"$1,120,965,000.00","$1,120,965,000.00","$1,120,965,000.00"
2/09/00,"AGENCIA PRESIDENCIAL DE COOPERACIÓN INTERNACIONAL DE COLOMBIA, APC - COLOMBIA",A-3-4-3-1,A,3,4,3,1,,,,Nación,11,CSF,FONDO DE COOPERACION Y ASISTENCIA INTERNACIONAL  (LEY 318 DE 1996),"$386,240,330.00","$386,240,330.00","$386,240,330.00"
2/09/00,"AGENCIA PRESIDENCIAL DE COOPERACIÓN INTERNACIONAL DE COLOMBIA, APC - COLOMBIA",C-0208-1000-1,C,208,1000,1,,,,,Propios,25,CSF,ADMINISTRACIÓN DE RECURSOS DE COOPERACIÓN INTERNACIONAL A NIVEL NACIONAL,"$365,279,219.00","$365,279,219.00","$365,279,219.00"
2/09/00,"AGENCIA PRESIDENCIAL DE COOPERACIÓN INTERNACIONAL DE COLOMBIA, APC - COLOMBIA",C-0208-1000-5,C,208,1000,5,,,,,Nación,10,CSF,IMPLEMENTACIÓN DEL SISTEMA DE INFORMACIÓN DE LA COOPERACIÓN INTERNACIONAL DE COLOMBIA,"$594,964,464.00","$594,964,464.00","$594,964,464.00"
2/11/00,UNIDAD NACIONAL PARA LA GESTIÓN DEL RIESGO DE DESASTRES,A-1-0-1-5,A,1,0,1,5,,,,Nación,10,CSF,OTROS,"$7,507,547.00","$7,507,547.00","$7,507,547.00"
2/11/00,UNIDAD NACIONAL PARA LA GESTIÓN DEL RIESGO DE DESASTRES,A-1-0-1-9,A,1,0,1,9,,,,Nación,10,CSF,"HORAS EXTRAS, DIAS FESTIVOS E INDEMNIZACION POR VACACIONES","$6,287,988.00","$6,287,988.00","$6,287,988.00"
2/11/00,UNIDAD NACIONAL PARA LA GESTIÓN DEL RIESGO DE DESASTRES,A-1-0-2,A,1,0,2,,,,,Nación,10,CSF,SERVICIOS PERSONALES INDIRECTOS,"$85,704,995.66","$85,704,995.66","$85,704,995.66"
2/11/00,UNIDAD NACIONAL PARA LA GESTIÓN DEL RIESGO DE DESASTRES,A-1-0-5,A,1,0,5,,,,,Nación,10,CSF,CONTRIBUCIONES INHERENTES A LA NOMINA SECTOR PRIVADO Y PUBLICO,"$209,608,002.00","$209,608,002.00","$209,608,002.00"
2/11/00,UNIDAD NACIONAL PARA LA GESTIÓN DEL RIESGO DE DESASTRES,A-2-0-4,A,2,0,4,,,,,Nación,10,CSF,ADQUISICION DE BIENES Y SERVICIOS,"$511,028,904.20","$511,028,904.20","$511,028,904.20"
2/11/00,UNIDAD NACIONAL PARA LA GESTIÓN DEL RIESGO DE DESASTRES,A-3-2-1-5,A,3,2,1,5,,,,Nación,10,CSF,ATENCION DE DESASTRES Y EMERGENCIAS EN EL TERRITORIO NACIONAL - FONDO NACIONAL DE GESTION DEL RIESGO DE DESASTRES,"$82,870,960,000.00","$82,870,960,000.00","$82,870,960,000.00"
2/11/00,UNIDAD NACIONAL PARA LA GESTIÓN DEL RIESGO DE DESASTRES,A-3-2-1-5,A,3,2,1,5,,,,Nación,14,CSF,ATENCION DE DESASTRES Y EMERGENCIAS EN EL TERRITORIO NACIONAL - FONDO NACIONAL DE GESTION DEL RIESGO DE DESASTRES,"$54,628,250,016.00","$54,628,250,016.00","$54,628,250,016.00"
2/11/00,UNIDAD NACIONAL PARA LA GESTIÓN DEL RIESGO DE DESASTRES,C-0207-1000-1,C,207,1000,1,,,,,Nación,11,CSF,"IMPLEMENTACIÓN DEL  SISTEMA NACIONAL DE INFORMACIÓN PARA LA GESTIÓN DEL RIESGO DE DESASTRES. , NACIONAL","$41,381,825.00","$41,381,825.00","$41,381,825.00"
2/11/00,UNIDAD NACIONAL PARA LA GESTIÓN DEL RIESGO DE DESASTRES,C-0207-1000-2,C,207,1000,2,,,,,Nación,11,CSF,"FORTALECIMIENTO DE POLÍTICAS E INSTRUMENTOS FINANCIEROS DEL SISTEMA NACIONAL DE GESTIÓN DEL RIESGO DE DESASTRES –SNGRD-DE COLOMBIA , NACIONAL","$10,753,499.00","$10,753,499.00","$10,753,499.00"
2/11/00,UNIDAD NACIONAL PARA LA GESTIÓN DEL RIESGO DE DESASTRES,C-0207-1000-3,C,207,1000,3,,,,,Nación,11,CSF,"ASISTENCIA TÉNICA A LAS ENTIDADES TERRITORIALES EN LA IMPLEMENTACIÓN DE LOS COMPONENTES DEL SNGRD DE ACUERDO A LA LEY 1523 DE 2012. , NACIONAL","$57,948,165.00","$57,948,165.00","$57,948,165.00"
2/11/00,UNIDAD NACIONAL PARA LA GESTIÓN DEL RIESGO DE DESASTRES,C-0207-1000-4,C,207,1000,4,,,,,Nación,10,CSF,FORTALECIMIENTO DE LAS CAPACIDADES FINANCIERAS TERRITORIALES EN GESTION DEL RIESGO DE DESASTRES A NIVEL NACIONAL,"$9,536,164,008.00","$9,536,164,008.00","$9,536,164,008.00"
2/12/00,AGENCIA PARA LA REINCORPORACION Y LA NORMALIZACION - ARN,A-1-0-1-9,A,1,0,1,9,,,,Nación,10,CSF,"HORAS EXTRAS, DIAS FESTIVOS E INDEMNIZACION POR VACACIONES","$2,035,151.00","$2,035,151.00","$2,035,151.00"
2/12/00,AGENCIA PARA LA REINCORPORACION Y LA NORMALIZACION - ARN,A-1-0-2,A,1,0,2,,,,,Nación,10,CSF,SERVICIOS PERSONALES INDIRECTOS,"$61,586,900.00","$61,586,900.00","$61,586,900.00"
2/12/00,AGENCIA PARA LA REINCORPORACION Y LA NORMALIZACION - ARN,A-1-0-5,A,1,0,5,,,,,Nación,10,CSF,CONTRIBUCIONES INHERENTES A LA NOMINA SECTOR PRIVADO Y PUBLICO,"$499,460,112.00","$499,460,112.00","$499,460,112.00"
2/12/00,AGENCIA PARA LA REINCORPORACION Y LA NORMALIZACION - ARN,A-2-0-4,A,2,0,4,,,,,Nación,10,CSF,ADQUISICION DE BIENES Y SERVICIOS,"$505,748,813.00","$505,748,813.00","$505,748,813.00"
2/12/00,AGENCIA PARA LA REINCORPORACION Y LA NORMALIZACION - ARN,A-3-1-1-28,A,3,1,1,28,,,,Nación,10,CSF,FONDO DE PROGRAMAS ESPECIALES PARA LA PAZ: PROGRAMA DE REINTEGRACION SOCIAL Y ECONOMICA,"$9,209,013,356.00","$9,209,013,356.00","$9,209,013,356.00"
2/12/00,AGENCIA PARA LA REINCORPORACION Y LA NORMALIZACION - ARN,A-3-1-1-28,A,3,1,1,28,,,,Nación,11,CSF,FONDO DE PROGRAMAS ESPECIALES PARA LA PAZ: PROGRAMA DE REINTEGRACION SOCIAL Y ECONOMICA,"$1,436,754,288.00","$1,436,754,288.00","$1,436,754,288.00"
2/12/00,AGENCIA PARA LA REINCORPORACION Y LA NORMALIZACION - ARN,C-0211-1000-1,C,211,1000,1,,,,,Nación,11,CSF,IMPLEMENTACIÓN MODELO DE REINTEGRACION COMUNITARIA Y ACCIONES DE PREVENCION DEL RECLUTAMIENTO COMUNIDADES RECEPTORAS DE POBLACION EN PROCESO DE REINTEGRACION NACIONAL,"$323,379,007.00","$323,379,007.00","$323,379,007.00"
02-14-00,AGENCIA DE RENOVACION DEL TERRITORIO - ART,A-1-0-2,A,1,0,2,,,,,Nación,10,CSF,SERVICIOS PERSONALES INDIRECTOS,"$48,111,633.00","$48,111,633.00","$48,111,633.00"
02-14-00,AGENCIA DE RENOVACION DEL TERRITORIO - ART,A-2-0-4,A,2,0,4,,,,,Nación,10,CSF,ADQUISICION DE BIENES Y SERVICIOS,"$556,631,760.09","$556,631,760.09","$556,631,760.09"
02-14-00,AGENCIA DE RENOVACION DEL TERRITORIO - ART,C-0212-1000-1,C,212,1000,1,,,,,Nación,13,CSF,"IMPLEMENTACION DE ACTIVIDADES DE DESARROLLO ECONOMICO DE FAMILIAS, COMUNIDADES Y TERRITORIOS AFECTADOS POR LA PRESENCIA DE CULTIVOS DE USO ILICITO Y CONFLICTO ARMADO","$16,057,731,519.00","$16,057,731,519.00","$16,057,731,519.00"
02-14-00,AGENCIA DE RENOVACION DEL TERRITORIO - ART,C-0212-1000-3,C,212,1000,3,,,,,Nación,10,CSF,"IMPLEMENTACION DE ACTIVIDADES DE FORTALECIMIENTO INSTITUCIONAL, SOCIAL Y COMUNITARIO EN ZONAS AFECTADAS POR EL CONFLICTO ARMADO Y POR LOS CULTIVOS DE USO ILICITO","$590,511,045.00","$590,511,045.00","$590,511,045.00"
02-14-00,AGENCIA DE RENOVACION DEL TERRITORIO - ART,C-0212-1000-4,C,212,1000,4,,,,,Nación,10,CSF,IMPLEMENTACION DE OBRAS DE PEQUEÑA Y MEDIANA INFRAESTRUCTURA PARA EL DESARROLLO DE LOS TERRITORIOS AFECTADOS POR EL CONFLICTO ARMADO Y CULTIVOS DE USO ILICITO,"$58,222,932.00","$58,222,932.00","$58,222,932.00"
02-14-00,AGENCIA DE RENOVACION DEL TERRITORIO - ART,C-0212-1000-4,C,212,1000,4,,,,,Nación,13,CSF,IMPLEMENTACION DE OBRAS DE PEQUEÑA Y MEDIANA INFRAESTRUCTURA PARA EL DESARROLLO DE LOS TERRITORIOS AFECTADOS POR EL CONFLICTO ARMADO Y CULTIVOS DE USO ILICITO,"$3,026,080,000.00","$3,026,080,000.00","$3,026,080,000.00"
02-14-00,AGENCIA DE RENOVACION DEL TERRITORIO - ART,C-0299-1000-1,C,299,1000,1,,,,,Nación,10,CSF,FORTALECIMIENTO TECNOLOGICO DE LA ENTIDAD EN LOS TERRITORIOS AFECTADOS POR EL CONFLICTO ARMADO Y CULTIVOS DE USO ILICITO,"$531,056,654.00","$531,056,654.00","$531,056,654.00"
02-14-00,AGENCIA DE RENOVACION DEL TERRITORIO - ART,C-0299-1000-1,C,299,1000,1,,,,,Nación,13,CSF,FORTALECIMIENTO TECNOLOGICO DE LA ENTIDAD EN LOS TERRITORIOS AFECTADOS POR EL CONFLICTO ARMADO Y CULTIVOS DE USO ILICITO,"$1,378,715,292.00","$1,378,715,292.00","$1,378,715,292.00"
3/01/01,DEPARTAMENTO DE PLANEACION - GESTION GENERAL,A-1-0-1-1,A,1,0,1,1,,,,Nación,10,CSF,SUELDOS DE PERSONAL DE NOMINA,"$1,333,861.00","$1,333,861.00","$1,333,861.00"
3/01/01,DEPARTAMENTO DE PLANEACION - GESTION GENERAL,A-1-0-2,A,1,0,2,,,,,Nación,10,CSF,SERVICIOS PERSONALES INDIRECTOS,"$471,973,307.42","$471,973,307.42","$471,973,307.42"
3/01/01,DEPARTAMENTO DE PLANEACION - GESTION GENERAL,A-2-0-4,A,2,0,4,,,,,Nación,10,CSF,ADQUISICION DE BIENES Y SERVICIOS,"$1,434,821,060.56","$1,434,821,060.56","$1,434,821,060.56"
3/01/01,DEPARTAMENTO DE PLANEACION - GESTION GENERAL,A-3-5-1-5,A,3,5,1,5,,,,Nación,10,CSF,BONOS PENSIONALES,"$483,073,000.00","$483,073,000.00","$483,073,000.00"
3/01/01,DEPARTAMENTO DE PLANEACION - GESTION GENERAL,A-3-6-1-1,A,3,6,1,1,,,,Nación,10,CSF,SENTENCIAS Y CONCILIACIONES,"$13,850,244.00","$13,850,244.00","$13,850,244.00"
3/01/01,DEPARTAMENTO DE PLANEACION - GESTION GENERAL,C-0301-1000-1,C,301,1000,1,,,,,Nación,10,CSF,"DISEÑO Y ARTICULACIÓN DE  LOS INSTRUMENTOS, ESTRATEGIAS, LINEAMIENTOS Y DEMÁS REQUERIMIENTOS TÉCNICOS NECESARIOS PARA EL DESARROLLO DE LA POLÍTICA PÚBLICA DE PROTECCIÓN SOCIAL A NIVEL NACIONAL","$258,730,795.00","$258,730,795.00","$258,730,795.00"
3/01/01,DEPARTAMENTO DE PLANEACION - GESTION GENERAL,C-0301-1000-2,C,301,1000,2,,,,,Nación,10,CSF,FORTALECIMIENTO DE LA PLANEACIÓN ESTRATÉGICA SECTORIAL DE LARGO PLAZO NACIONAL,"$512,010,044.00","$512,010,044.00","$512,010,044.00"
3/01/01,DEPARTAMENTO DE PLANEACION - GESTION GENERAL,C-0301-1000-2,C,301,1000,2,,,,,Nación,11,CSF,FORTALECIMIENTO DE LA PLANEACIÓN ESTRATÉGICA SECTORIAL DE LARGO PLAZO NACIONAL,"$6,878,268.00","$6,878,268.00","$6,878,268.00"
3/01/01,DEPARTAMENTO DE PLANEACION - GESTION GENERAL,C-0301-1000-2,C,301,1000,2,,,,,Nación,14,CSF,FORTALECIMIENTO DE LA PLANEACIÓN ESTRATÉGICA SECTORIAL DE LARGO PLAZO NACIONAL,"$1,299,750,940.00","$1,299,750,940.00","$1,299,750,940.00"
3/01/01,DEPARTAMENTO DE PLANEACION - GESTION GENERAL,C-0301-1000-3,C,301,1000,3,,,,,Nación,14,CSF,APOYO TÉCNICO PARA LA IMPLEMENTACIÓN DE LAS ESTRATEGIAS DE LA POLÍTICA LOGÍSTICA NACIONAL,"$1,011,368,570.00","$1,011,368,570.00","$1,011,368,570.00"
3/01/01,DEPARTAMENTO DE PLANEACION - GESTION GENERAL,C-0301-1000-4,C,301,1000,4,,,,,Nación,10,CSF,APOYO A LA IMPLEMENTACIÓN DE LA POLÍTICA DE TRANSPORTE URBANO EN LOS MUNICIPIOS DE LA ESTRATEGIA DE VIVIENDA Y CIUD. AMABLES NACIONAL,"$214,039,385.00","$214,039,385.00","$214,039,385.00"
3/01/01,DEPARTAMENTO DE PLANEACION - GESTION GENERAL,C-0301-1000-5,C,301,1000,5,,,,,Nación,10,CSF,FORTALECIMIENTO DEL SISTEMA NACIONAL DE EVALUACIÓN Y DE GESTIÓN DE RESULTADOS - SINERGIA EN EL NIVEL NACIONAL Y TERRITORIAL,"$1,043,452,662.00","$1,043,452,662.00","$1,043,452,662.00"
3/01/01,DEPARTAMENTO DE PLANEACION - GESTION GENERAL,C-0301-1000-6,C,301,1000,6,,,,,Nación,10,CSF,"FORTALECIMIENTO CAPACIDADES TÉCNICAS E INSTITUCIONALES PARA EL DISEÑO, IMPLEMENTACIÓN, SEGUIMIENTO Y EVALUACIÓN DE POLÍTICAS PÚBLICA DE DESARROLLO EMPRESARIAL NACIONAL","$142,476,909.00","$142,476,909.00","$142,476,909.00"
3/01/01,DEPARTAMENTO DE PLANEACION - GESTION GENERAL,C-0301-1000-7,C,301,1000,7,,,,,Nación,10,CSF,APOYO AL DESARROLLO DE PROYECTOS A TRAVES DEL FONDO REGIONAL PARA LOS CONTRATOS PLAN,"$24,989,438,317.00","$24,989,438,317.00","$24,989,438,317.00"
3/01/01,DEPARTAMENTO DE PLANEACION - GESTION GENERAL,C-0301-1000-7,C,301,1000,7,,,,,Nación,11,CSF,APOYO AL DESARROLLO DE PROYECTOS A TRAVES DEL FONDO REGIONAL PARA LOS CONTRATOS PLAN,"$59,977,227,385.00","$59,977,227,385.00","$59,977,227,385.00"
3/01/01,DEPARTAMENTO DE PLANEACION - GESTION GENERAL,C-0301-1000-8,C,301,1000,8,,,,,Nación,10,CSF,FORTALECIMIENTO DE LAS CAPACIDADES DEL SECTOR PÚBLICO PARA FOMENTAR PROCESOS DE INNOVACIÓN PÚBLICA Y SOCIAL,"$16,270,233.00","$16,270,233.00","$16,270,233.00"
3/01/01,DEPARTAMENTO DE PLANEACION - GESTION GENERAL,C-0301-1000-9,C,301,1000,9,,,,,Nación,10,CSF,IMPLEMENTACIÓN DEL PROGRAMA NACIONAL DE EFICIENCIA AL SERVICIO DEL CIUDADANO,"$71,735,387.00","$71,735,387.00","$71,735,387.00"
3/01/01,DEPARTAMENTO DE PLANEACION - GESTION GENERAL,C-0301-1000-9,C,301,1000,9,,,,,Nación,14,CSF,IMPLEMENTACIÓN DEL PROGRAMA NACIONAL DE EFICIENCIA AL SERVICIO DEL CIUDADANO,"$2,218,975,332.29","$2,218,975,332.29","$2,218,975,332.29"
