IDENTIFICACION,DESCRIPCION,Niv1,Niv2,,Niv3,,Niv4,Num,Con,Des1,,Des2,Des3,Des4,Descripción,DERECHOS CAUSADOS BRUTO,DERECHOS CASTIGADOS,DEVOLUCIONES CAUSADAS,,DERECHOS CAUSADOS NETO,RECAUDO EN EFECTIVO,,,DEVOLUCIONES PAGADAS EFECTIVO,"TOTAL RECAUDO EFECTIVO
NETO",RECAUDO EN TITULOS,,,,DEVOLUCIONES PAGADAS TITULOS,TOTAL RECAUDOS TITULOS,RECAUDO EN COMPENSACIONES,TOTAL RECAUDO NETO,PENDIENTE DE COBRO ,,,
,,2,8,,0,,0,1,9,,,,,,REINTEGROS VIGENCIAS ANTERIORES,"33.453.119.229,10","0,00","0,00",,"33.453.119.229,10","33.453.119.229,10",,,"0,00","33.453.119.229,10","0,00",,,,"0,00","0,00","0,00","33.453.119.229,10","0,00",,,
,,2,8,,0,,0,1,9,1,,,,,REINTEGROS VIGENCIAS ANTERIORES-FUNCIONAMIENTO,"32.956.260.368,34","0,00","0,00",,"32.956.260.368,34","32.956.260.368,34",,,"0,00","32.956.260.368,34","0,00",,,,"0,00","0,00","0,00","32.956.260.368,34","0,00",,,
,,2,8,,0,,0,1,9,3,,,,,REINTEGROS VIGENCIAS ANTERIORES-INVERSION,"330.933.944,24","0,00","0,00",,"330.933.944,24","330.933.944,24",,,"0,00","330.933.944,24","0,00",,,,"0,00","0,00","0,00","330.933.944,24","0,00",,,
,,2,8,,0,,0,1,9,4,,,,,REINTEGRO INCAPACIDADES VIGENCIAS ANTERIORES,"165.924.916,52","0,00","0,00",,"165.924.916,52","165.924.916,52",,,"0,00","165.924.916,52","0,00",,,,"0,00","0,00","0,00","165.924.916,52","0,00",,,
,,2,9,,,,,,,,,,,,RECUPERACION DE CARTERA,"52.304.232,54","0,00","0,00",,"52.304.232,54","52.304.232,54",,,"0,00","52.304.232,54","0,00",,,,"0,00","0,00","0,00","52.304.232,54","0,00",,,
,,2,9,,0,,,,,,,,,,RECUPERACION DE CARTERA,"52.304.232,54","0,00","0,00",,"52.304.232,54","52.304.232,54",,,"0,00","52.304.232,54","0,00",,,,"0,00","0,00","0,00","52.304.232,54","0,00",,,
,,2,9,,0,,0,,,,,,,,RECUPERACION DE CARTERA,"52.304.232,54","0,00","0,00",,"52.304.232,54","52.304.232,54",,,"0,00","52.304.232,54","0,00",,,,"0,00","0,00","0,00","52.304.232,54","0,00",,,
,,2,9,,0,,0,1,,,,,,,RECUPERACION DE CARTERA,"52.304.232,54","0,00","0,00",,"52.304.232,54","52.304.232,54",,,"0,00","52.304.232,54","0,00",,,,"0,00","0,00","0,00","52.304.232,54","0,00",,,
,,2,9,,0,,0,1,5,,,,,,RECUPERACIONES,"52.304.232,54","0,00","0,00",,"52.304.232,54","52.304.232,54",,,"0,00","52.304.232,54","0,00",,,,"0,00","0,00","0,00","52.304.232,54","0,00",,,
02-09-00,"AGENCIA PRESIDENCIAL DE COOPERACIÓN INTERNACIONAL DE COLOMBIA, APC - COLOMBIA",2,,,,,,,,,,,,,RECURSOS DE CAPITAL DE LA NACION,"924.868.949,26","0,00","0,00",,"924.868.949,26","924.868.949,26",,,"0,00","924.868.949,26","0,00",,,,"0,00","0,00","0,00","924.868.949,26","0,00",,,
,,2,4,,,,,,,,,,,,RENDIMIENTOS FINANCIEROS,"88.342.571,10","0,00","0,00",,"88.342.571,10","88.342.571,10",,,"0,00","88.342.571,10","0,00",,,,"0,00","0,00","0,00","88.342.571,10","0,00",,,
,,2,4,,0,,,,,,,,,,RENDIMIENTOS FINANCIEROS,"88.342.571,10","0,00","0,00",,"88.342.571,10","88.342.571,10",,,"0,00","88.342.571,10","0,00",,,,"0,00","0,00","0,00","88.342.571,10","0,00",,,
,,2,4,,0,,0,,,,,,,,RENDIMIENTOS FINANCIEROS,"88.342.571,10","0,00","0,00",,"88.342.571,10","88.342.571,10",,,"0,00","88.342.571,10","0,00",,,,"0,00","0,00","0,00","88.342.571,10","0,00",,,
,,2,4,,0,,0,1,,,,,,,RENDIMIENTOS FINANCIEROS,"88.342.571,10","0,00","0,00",,"88.342.571,10","88.342.571,10",,,"0,00","88.342.571,10","0,00",,,,"0,00","0,00","0,00","88.342.571,10","0,00",,,
,,2,4,,0,,0,1,1,,,,,,RENDIMIENTOS SOBRE DEPÓSITOS EN ADMINISTRACION,"88.342.571,10","0,00","0,00",,"88.342.571,10","88.342.571,10",,,"0,00","88.342.571,10","0,00",,,,"0,00","0,00","0,00","88.342.571,10","0,00",,,
,,2,8,,,,,,,,,,,,REINTEGROS Y OTROS RECURSOS NO APROPIADOS,"786.868.564,16","0,00","0,00",,"786.868.564,16","786.868.564,16",,,"0,00","786.868.564,16","0,00",,,,"0,00","0,00","0,00","786.868.564,16","0,00",,,
,,2,8,,0,,,,,,,,,,REINTEGROS Y OTROS RECURSOS NO APROPIADOS,"786.868.564,16","0,00","0,00",,"786.868.564,16","786.868.564,16",,,"0,00","786.868.564,16","0,00",,,,"0,00","0,00","0,00","786.868.564,16","0,00",,,
,,2,8,,0,,0,,,,,,,,REINTEGROS Y OTROS RECURSOS NO APROPIADOS,"786.868.564,16","0,00","0,00",,"786.868.564,16","786.868.564,16",,,"0,00","786.868.564,16","0,00",,,,"0,00","0,00","0,00","786.868.564,16","0,00",,,
,,2,8,,0,,0,1,,,,,,,REINTEGROS Y OTROS RECURSOS NO APROPIADOS,"786.868.564,16","0,00","0,00",,"786.868.564,16","786.868.564,16",,,"0,00","786.868.564,16","0,00",,,,"0,00","0,00","0,00","786.868.564,16","0,00",,,
,,2,8,,0,,0,1,3,,,,,,FOTOCOPIAS,"40.480,00","0,00","0,00",,"40.480,00","40.480,00",,,"0,00","40.480,00","0,00",,,,"0,00","0,00","0,00","40.480,00","0,00",,,
,,2,8,,0,,0,1,9,,,,,,REINTEGROS VIGENCIAS ANTERIORES,"786.828.084,16","0,00","0,00",,"786.828.084,16","786.828.084,16",,,"0,00","786.828.084,16","0,00",,,,"0,00","0,00","0,00","786.828.084,16","0,00",,,
,,2,8,,0,,0,1,9,1,,,,,REINTEGROS VIGENCIAS ANTERIORES-FUNCIONAMIENTO,"338.651.128,33","0,00","0,00",,"338.651.128,33","338.651.128,33",,,"0,00","338.651.128,33","0,00",,,,"0,00","0,00","0,00","338.651.128,33","0,00",,,
,,2,8,,0,,0,1,9,3,,,,,REINTEGROS VIGENCIAS ANTERIORES-INVERSION,"440.979.965,83","0,00","0,00",,"440.979.965,83","440.979.965,83",,,"0,00","440.979.965,83","0,00",,,,"0,00","0,00","0,00","440.979.965,83","0,00",,,
,,2,8,,0,,0,1,9,4,,,,,REINTEGRO INCAPACIDADES VIGENCIAS ANTERIORES,"7.196.990,00","0,00","0,00",,"7.196.990,00","7.196.990,00",,,"0,00","7.196.990,00","0,00",,,,"0,00","0,00","0,00","7.196.990,00","0,00",,,
,,2,9,,,,,,,,,,,,RECUPERACION DE CARTERA,"49.657.814,00","0,00","0,00",,"49.657.814,00","49.657.814,00",,,"0,00","49.657.814,00","0,00",,,,"0,00","0,00","0,00","49.657.814,00","0,00",,,
,,2,9,,0,,,,,,,,,,RECUPERACION DE CARTERA,"49.657.814,00","0,00","0,00",,"49.657.814,00","49.657.814,00",,,"0,00","49.657.814,00","0,00",,,,"0,00","0,00","0,00","49.657.814,00","0,00",,,
,,2,9,,0,,0,,,,,,,,RECUPERACION DE CARTERA,"49.657.814,00","0,00","0,00",,"49.657.814,00","49.657.814,00",,,"0,00","49.657.814,00","0,00",,,,"0,00","0,00","0,00","49.657.814,00","0,00",,,
,,2,9,,0,,0,1,,,,,,,RECUPERACION DE CARTERA,"49.657.814,00","0,00","0,00",,"49.657.814,00","49.657.814,00",,,"0,00","49.657.814,00","0,00",,,,"0,00","0,00","0,00","49.657.814,00","0,00",,,
,,2,9,,0,,0,1,5,,,,,,RECUPERACIONES,"49.657.814,00","0,00","0,00",,"49.657.814,00","49.657.814,00",,,"0,00","49.657.814,00","0,00",,,,"0,00","0,00","0,00","49.657.814,00","0,00",,,
,,3,,,,,,,,,,,,,I-INGRESOS DE LOS ESTABLECIMIENTOS PUBLICOS,"28.706.728.403,20","0,00","0,00",,"28.706.728.403,20","28.698.951.306,20",,,"0,00","28.698.951.306,20","0,00",,,,"0,00","0,00","0,00","28.698.951.306,20","7.777.097,00",,,
,,3,2,,,,,,,,,,,,B-RECURSOS DE CAPITAL,"28.706.728.403,20","0,00","0,00",,"28.706.728.403,20","28.698.951.306,20",,,"0,00","28.698.951.306,20","0,00",,,,"0,00","0,00","0,00","28.698.951.306,20","7.777.097,00",,,
,,3,2,,6,,,,,,,,,,DONACIONES,"28.706.728.403,20","0,00","0,00",,"28.706.728.403,20","28.698.951.306,20",,,"0,00","28.698.951.306,20","0,00",,,,"0,00","0,00","0,00","28.698.951.306,20","7.777.097,00",,,
,,3,2,,6,,0,,,,,,,,DONACIONES,"28.706.728.403,20","0,00","0,00",,"28.706.728.403,20","28.698.951.306,20",,,"0,00","28.698.951.306,20","0,00",,,,"0,00","0,00","0,00","28.698.951.306,20","7.777.097,00",,,
,,3,2,,6,,0,2,,,,,,,DONACIONES EXTERNAS,"28.706.728.403,20","0,00","0,00",,"28.706.728.403,20","28.698.951.306,20",,,"0,00","28.698.951.306,20","0,00",,,,"0,00","0,00","0,00","28.698.951.306,20","7.777.097,00",,,
02-11-00,UNIDAD NACIONAL PARA LA GESTIÓN DEL RIESGO DE DESASTRES,2,,,,,,,,,,,,,RECURSOS DE CAPITAL DE LA NACION,"442.120.790,91","0,00","0,00",,"442.120.790,91","442.120.790,91",,,"0,00","442.120.790,91","0,00",,,,"0,00","0,00","0,00","442.120.790,91","0,00",,,
,,2,4,,,,,,,,,,,,RENDIMIENTOS FINANCIEROS,"405.712.234,91","0,00","0,00",,"405.712.234,91","405.712.234,91",,,"0,00","405.712.234,91","0,00",,,,"0,00","0,00","0,00","405.712.234,91","0,00",,,
,,2,4,,0,,,,,,,,,,RENDIMIENTOS FINANCIEROS,"405.712.234,91","0,00","0,00",,"405.712.234,91","405.712.234,91",,,"0,00","405.712.234,91","0,00",,,,"0,00","0,00","0,00","405.712.234,91","0,00",,,
,,2,4,,0,,0,,,,,,,,RENDIMIENTOS FINANCIEROS,"405.712.234,91","0,00","0,00",,"405.712.234,91","405.712.234,91",,,"0,00","405.712.234,91","0,00",,,,"0,00","0,00","0,00","405.712.234,91","0,00",,,
,,2,4,,0,,0,1,,,,,,,RENDIMIENTOS FINANCIEROS,"405.712.234,91","0,00","0,00",,"405.712.234,91","405.712.234,91",,,"0,00","405.712.234,91","0,00",,,,"0,00","0,00","0,00","405.712.234,91","0,00",,,
,,2,4,,0,,0,1,7,,,,,,RENDIMIENTOS FINANCIEROS CUENTAS BANCARIAS,"405.712.234,91","0,00","0,00",,"405.712.234,91","405.712.234,91",,,"0,00","405.712.234,91","0,00",,,,"0,00","0,00","0,00","405.712.234,91","0,00",,,
,,2,8,,,,,,,,,,,,REINTEGROS Y OTROS RECURSOS NO APROPIADOS,"21.499.271,00","0,00","0,00",,"21.499.271,00","21.499.271,00",,,"0,00","21.499.271,00","0,00",,,,"0,00","0,00","0,00","21.499.271,00","0,00",,,
