IDENTIFICACION,DESCRIPCION,,,Niv1,Niv2,Niv3,Niv4,Num,Con,Des1,Des2,Des3,Des4,Des5,Des6,Des7,Des8,Des9,Des10,Des11,Des12,Des13,,,Des14,Descripción,,,AFORO INICIAL,,MODIFICACIONES AFORO,AFORO VIGENTE,RECAUDO EN EFECTIVO MES,,,,RECAUDO EN EFECTIVO ACUMULADO,DEVOLUCIONES PAGADAS ACUMULADAS,RECAUDO EN EFECTIVO ACUMULADO NETO,SALDO DE AFORO POR RECAUDAR
,,,,2,4,,,,,,,,,,,,,,,,,,,,,RENDIMIENTOS FINANCIEROS,,,"0,00",,"0,00","0,00","27.155.404,29",,,,"925.348.970,48","0,00","925.348.970,48","-925.348.970,48"
,,,,2,4,0,,,,,,,,,,,,,,,,,,,,RENDIMIENTOS FINANCIEROS,,,"0,00",,"0,00","0,00","27.155.404,29",,,,"925.348.970,48","0,00","925.348.970,48","-925.348.970,48"
,,,,2,4,0,0,,,,,,,,,,,,,,,,,,,RENDIMIENTOS FINANCIEROS,,,"0,00",,"0,00","0,00","27.155.404,29",,,,"925.348.970,48","0,00","925.348.970,48","-925.348.970,48"
,,,,2,4,0,0,1,,,,,,,,,,,,,,,,,,RENDIMIENTOS FINANCIEROS,,,"0,00",,"0,00","0,00","27.155.404,29",,,,"925.348.970,48","0,00","925.348.970,48","-925.348.970,48"
,,,,2,4,0,0,1,1,,,,,,,,,,,,,,,,,RENDIMIENTOS SOBRE DEPÓSITOS EN ADMINISTRACION,,,"0,00",,"0,00","0,00","27.155.404,29",,,,"919.746.684,77","0,00","919.746.684,77","-919.746.684,77"
,,,,2,4,0,0,1,8,,,,,,,,,,,,,,,,,RENDIMIENTOS FINANCIEROS DE INVERSIONES,,,"0,00",,"0,00","0,00","0,00",,,,"5.602.285,71","0,00","5.602.285,71","-5.602.285,71"
,,,,2,7,,,,,,,,,,,,,,,,,,,,,OTROS RECURSOS DE CAPITAL,,,"0,00",,"0,00","0,00","0,00",,,,"0,00","895.970.190,42","-895.970.190,42","895.970.190,42"
,,,,2,7,0,,,,,,,,,,,,,,,,,,,,OTROS RECURSOS DE CAPITAL,,,"0,00",,"0,00","0,00","0,00",,,,"0,00","895.970.190,42","-895.970.190,42","895.970.190,42"
,,,,2,7,0,0,,,,,,,,,,,,,,,,,,,OTROS RECURSOS DE CAPITAL,,,"0,00",,"0,00","0,00","0,00",,,,"0,00","895.970.190,42","-895.970.190,42","895.970.190,42"
,,,,2,7,0,0,1,,,,,,,,,,,,,,,,,,OTROS ,,,"0,00",,"0,00","0,00","0,00",,,,"0,00","895.970.190,42","-895.970.190,42","895.970.190,42"
,,,,2,7,0,0,1,2,,,,,,,,,,,,,,,,,FRISCO,,,"0,00",,"0,00","0,00","0,00",,,,"0,00","895.970.190,42","-895.970.190,42","895.970.190,42"
,,,,2,8,,,,,,,,,,,,,,,,,,,,,REINTEGROS Y OTROS RECURSOS NO APROPIADOS,,,"0,00",,"0,00","0,00","722.072.889,68",,,,"33.479.903.430,26","0,00","33.479.903.430,26","-33.479.903.430,26"
,,,,2,8,0,,,,,,,,,,,,,,,,,,,,REINTEGROS Y OTROS RECURSOS NO APROPIADOS,,,"0,00",,"0,00","0,00","722.072.889,68",,,,"33.479.903.430,26","0,00","33.479.903.430,26","-33.479.903.430,26"
,,,,2,8,0,0,,,,,,,,,,,,,,,,,,,REINTEGROS Y OTROS RECURSOS NO APROPIADOS,,,"0,00",,"0,00","0,00","722.072.889,68",,,,"33.479.903.430,26","0,00","33.479.903.430,26","-33.479.903.430,26"
,,,,2,8,0,0,1,,,,,,,,,,,,,,,,,,REINTEGROS Y OTROS RECURSOS NO APROPIADOS,,,"0,00",,"0,00","0,00","722.072.889,68",,,,"33.479.903.430,26","0,00","33.479.903.430,26","-33.479.903.430,26"
,,,,2,8,0,0,1,2,,,,,,,,,,,,,,,,,APROVECHAMIENTOS,,,"0,00",,"0,00","0,00","5.565.288,00",,,,"8.638.788,00","0,00","8.638.788,00","-8.638.788,00"
,,,,2,8,0,0,1,3,,,,,,,,,,,,,,,,,FOTOCOPIAS,,,"0,00",,"0,00","0,00","0,00",,,,"605.828,51","0,00","605.828,51","-605.828,51"
,,,,2,8,0,0,1,4,,,,,,,,,,,,,,,,,INDEMNIZACIONES,,,"0,00",,"0,00","0,00","0,00",,,,"9.105.082,00","0,00","9.105.082,00","-9.105.082,00"
,,,,2,8,0,0,1,5,,,,,,,,,,,,,,,,,INTERES DE MORA,,,"0,00",,"0,00","0,00","6.765,66",,,,"6.765,66","0,00","6.765,66","-6.765,66"
,,,,2,8,0,0,1,8,,,,,,,,,,,,,,,,,VENTA MATERIAL RECICLAJE E INSERVIBLE,,,"0,00",,"0,00","0,00","0,00",,,,"8.427.736,99","0,00","8.427.736,99","-8.427.736,99"
,,,,2,8,0,0,1,9,,,,,,,,,,,,,,,,,REINTEGROS VIGENCIAS ANTERIORES,,,"0,00",,"0,00","0,00","716.500.836,02",,,,"33.453.119.229,10","0,00","33.453.119.229,10","-33.453.119.229,10"
,,,,2,8,0,0,1,9,1,,,,,,,,,,,,,,,,REINTEGROS VIGENCIAS ANTERIORES-FUNCIONAMIENTO,,,"0,00",,"0,00","0,00","716.500.836,02",,,,"32.956.260.368,34","0,00","32.956.260.368,34","-32.956.260.368,34"
,,,,2,8,0,0,1,9,3,,,,,,,,,,,,,,,,REINTEGROS VIGENCIAS ANTERIORES-INVERSION,,,"0,00",,"0,00","0,00","0,00",,,,"330.933.944,24","0,00","330.933.944,24","-330.933.944,24"
,,,,2,8,0,0,1,9,4,,,,,,,,,,,,,,,,REINTEGRO INCAPACIDADES VIGENCIAS ANTERIORES,,,"0,00",,"0,00","0,00","0,00",,,,"165.924.916,52","0,00","165.924.916,52","-165.924.916,52"
,,,,2,9,,,,,,,,,,,,,,,,,,,,,RECUPERACION DE CARTERA,,,"0,00",,"0,00","0,00","640.929,00",,,,"52.304.232,54","0,00","52.304.232,54","-52.304.232,54"
,,,,2,9,0,,,,,,,,,,,,,,,,,,,,RECUPERACION DE CARTERA,,,"0,00",,"0,00","0,00","640.929,00",,,,"52.304.232,54","0,00","52.304.232,54","-52.304.232,54"
,,,,2,9,0,0,,,,,,,,,,,,,,,,,,,RECUPERACION DE CARTERA,,,"0,00",,"0,00","0,00","640.929,00",,,,"52.304.232,54","0,00","52.304.232,54","-52.304.232,54"
,,,,2,9,0,0,1,,,,,,,,,,,,,,,,,,RECUPERACION DE CARTERA,,,"0,00",,"0,00","0,00","640.929,00",,,,"52.304.232,54","0,00","52.304.232,54","-52.304.232,54"
,,,,2,9,0,0,1,5,,,,,,,,,,,,,,,,,RECUPERACIONES,,,"0,00",,"0,00","0,00","640.929,00",,,,"52.304.232,54","0,00","52.304.232,54","-52.304.232,54"
02-09-00,"AGENCIA PRESIDENCIAL DE COOPERACIÓN INTERNACIONAL DE COLOMBIA, APC - COLOMBIA",,,2,,,,,,,,,,,,,,,,,,,,,,RECURSOS DE CAPITAL DE LA NACION,,,"0,00",,"0,00","0,00","7.261.831,07",,,,"924.868.949,26","0,00","924.868.949,26","-924.868.949,26"
,,,,2,4,,,,,,,,,,,,,,,,,,,,,RENDIMIENTOS FINANCIEROS,,,"0,00",,"0,00","0,00","7.261.831,07",,,,"88.342.571,10","0,00","88.342.571,10","-88.342.571,10"
,,,,2,4,0,,,,,,,,,,,,,,,,,,,,RENDIMIENTOS FINANCIEROS,,,"0,00",,"0,00","0,00","7.261.831,07",,,,"88.342.571,10","0,00","88.342.571,10","-88.342.571,10"
,,,,2,4,0,0,,,,,,,,,,,,,,,,,,,RENDIMIENTOS FINANCIEROS,,,"0,00",,"0,00","0,00","7.261.831,07",,,,"88.342.571,10","0,00","88.342.571,10","-88.342.571,10"
,,,,2,4,0,0,1,,,,,,,,,,,,,,,,,,RENDIMIENTOS FINANCIEROS,,,"0,00",,"0,00","0,00","7.261.831,07",,,,"88.342.571,10","0,00","88.342.571,10","-88.342.571,10"
,,,,2,4,0,0,1,1,,,,,,,,,,,,,,,,,RENDIMIENTOS SOBRE DEPÓSITOS EN ADMINISTRACION,,,"0,00",,"0,00","0,00","7.261.831,07",,,,"88.342.571,10","0,00","88.342.571,10","-88.342.571,10"
,,,,2,8,,,,,,,,,,,,,,,,,,,,,REINTEGROS Y OTROS RECURSOS NO APROPIADOS,,,"0,00",,"0,00","0,00","0,00",,,,"786.868.564,16","0,00","786.868.564,16","-786.868.564,16"
,,,,2,8,0,,,,,,,,,,,,,,,,,,,,REINTEGROS Y OTROS RECURSOS NO APROPIADOS,,,"0,00",,"0,00","0,00","0,00",,,,"786.868.564,16","0,00","786.868.564,16","-786.868.564,16"
,,,,2,8,0,0,,,,,,,,,,,,,,,,,,,REINTEGROS Y OTROS RECURSOS NO APROPIADOS,,,"0,00",,"0,00","0,00","0,00",,,,"786.868.564,16","0,00","786.868.564,16","-786.868.564,16"
,,,,2,8,0,0,1,,,,,,,,,,,,,,,,,,REINTEGROS Y OTROS RECURSOS NO APROPIADOS,,,"0,00",,"0,00","0,00","0,00",,,,"786.868.564,16","0,00","786.868.564,16","-786.868.564,16"
,,,,2,8,0,0,1,3,,,,,,,,,,,,,,,,,FOTOCOPIAS,,,"0,00",,"0,00","0,00","0,00",,,,"40.480,00","0,00","40.480,00","-40.480,00"
,,,,2,8,0,0,1,9,,,,,,,,,,,,,,,,,REINTEGROS VIGENCIAS ANTERIORES,,,"0,00",,"0,00","0,00","0,00",,,,"786.828.084,16","0,00","786.828.084,16","-786.828.084,16"
,,,,2,8,0,0,1,9,1,,,,,,,,,,,,,,,,REINTEGROS VIGENCIAS ANTERIORES-FUNCIONAMIENTO,,,"0,00",,"0,00","0,00","0,00",,,,"338.651.128,33","0,00","338.651.128,33","-338.651.128,33"
,,,,2,8,0,0,1,9,3,,,,,,,,,,,,,,,,REINTEGROS VIGENCIAS ANTERIORES-INVERSION,,,"0,00",,"0,00","0,00","0,00",,,,"440.979.965,83","0,00","440.979.965,83","-440.979.965,83"
,,,,2,8,0,0,1,9,4,,,,,,,,,,,,,,,,REINTEGRO INCAPACIDADES VIGENCIAS ANTERIORES,,,"0,00",,"0,00","0,00","0,00",,,,"7.196.990,00","0,00","7.196.990,00","-7.196.990,00"
,,,,2,9,,,,,,,,,,,,,,,,,,,,,RECUPERACION DE CARTERA,,,"0,00",,"0,00","0,00","0,00",,,,"49.657.814,00","0,00","49.657.814,00","-49.657.814,00"
,,,,2,9,0,,,,,,,,,,,,,,,,,,,,RECUPERACION DE CARTERA,,,"0,00",,"0,00","0,00","0,00",,,,"49.657.814,00","0,00","49.657.814,00","-49.657.814,00"
,,,,2,9,0,0,,,,,,,,,,,,,,,,,,,RECUPERACION DE CARTERA,,,"0,00",,"0,00","0,00","0,00",,,,"49.657.814,00","0,00","49.657.814,00","-49.657.814,00"
,,,,2,9,0,0,1,,,,,,,,,,,,,,,,,,RECUPERACION DE CARTERA,,,"0,00",,"0,00","0,00","0,00",,,,"49.657.814,00","0,00","49.657.814,00","-49.657.814,00"
,,,,2,9,0,0,1,5,,,,,,,,,,,,,,,,,RECUPERACIONES,,,"0,00",,"0,00","0,00","0,00",,,,"49.657.814,00","0,00","49.657.814,00","-49.657.814,00"
,,,,3,,,,,,,,,,,,,,,,,,,,,,I-INGRESOS DE LOS ESTABLECIMIENTOS PUBLICOS,,,"159.979.000.000,00",,"-8.369.180.206,00","151.609.819.794,00","57.188.765,77",,,,"28.698.951.306,20","0,00","28.698.951.306,20","122.910.868.487,80"
,,,,3,2,,,,,,,,,,,,,,,,,,,,,B-RECURSOS DE CAPITAL,,,"159.979.000.000,00",,"-8.369.180.206,00","151.609.819.794,00","57.188.765,77",,,,"28.698.951.306,20","0,00","28.698.951.306,20","122.910.868.487,80"
,,,,3,2,6,,,,,,,,,,,,,,,,,,,,DONACIONES,,,"159.979.000.000,00",,"-8.369.180.206,00","151.609.819.794,00","57.188.765,77",,,,"28.698.951.306,20","0,00","28.698.951.306,20","122.910.868.487,80"
,,,,3,2,6,0,,,,,,,,,,,,,,,,,,,DONACIONES,,,"159.979.000.000,00",,"-8.369.180.206,00","151.609.819.794,00","57.188.765,77",,,,"28.698.951.306,20","0,00","28.698.951.306,20","122.910.868.487,80"
,,,,3,2,6,0,2,,,,,,,,,,,,,,,,,,DONACIONES EXTERNAS,,,"0,00",,"0,00","0,00","57.188.765,77",,,,"28.698.951.306,20","0,00","28.698.951.306,20","-28.698.951.306,20"
02-11-00,UNIDAD NACIONAL PARA LA GESTIÓN DEL RIESGO DE DESASTRES,,,2,,,,,,,,,,,,,,,,,,,,,,RECURSOS DE CAPITAL DE LA NACION,,,"0,00",,"0,00","0,00","30.116.456,56",,,,"442.120.790,91","0,00","442.120.790,91","-442.120.790,91"
,,,,2,4,,,,,,,,,,,,,,,,,,,,,RENDIMIENTOS FINANCIEROS,,,"0,00",,"0,00","0,00","30.060.391,56",,,,"405.712.234,91","0,00","405.712.234,91","-405.712.234,91"
,,,,2,4,0,,,,,,,,,,,,,,,,,,,,RENDIMIENTOS FINANCIEROS,,,"0,00",,"0,00","0,00","30.060.391,56",,,,"405.712.234,91","0,00","405.712.234,91","-405.712.234,91"
,,,,2,4,0,0,,,,,,,,,,,,,,,,,,,RENDIMIENTOS FINANCIEROS,,,"0,00",,"0,00","0,00","30.060.391,56",,,,"405.712.234,91","0,00","405.712.234,91","-405.712.234,91"
,,,,2,4,0,0,1,,,,,,,,,,,,,,,,,,RENDIMIENTOS FINANCIEROS,,,"0,00",,"0,00","0,00","30.060.391,56",,,,"405.712.234,91","0,00","405.712.234,91","-405.712.234,91"
,,,,2,4,0,0,1,7,,,,,,,,,,,,,,,,,RENDIMIENTOS FINANCIEROS CUENTAS BANCARIAS,,,"0,00",,"0,00","0,00","30.060.391,56",,,,"405.712.234,91","0,00","405.712.234,91","-405.712.234,91"
,,,,2,8,,,,,,,,,,,,,,,,,,,,,REINTEGROS Y OTROS RECURSOS NO APROPIADOS,,,"0,00",,"0,00","0,00","0,00",,,,"21.499.271,00","0,00","21.499.271,00","-21.499.271,00"
,,,,2,8,0,,,,,,,,,,,,,,,,,,,,REINTEGROS Y OTROS RECURSOS NO APROPIADOS,,,"0,00",,"0,00","0,00","0,00",,,,"21.499.271,00","0,00","21.499.271,00","-21.499.271,00"
,,,,2,8,0,0,,,,,,,,,,,,,,,,,,,REINTEGROS Y OTROS RECURSOS NO APROPIADOS,,,"0,00",,"0,00","0,00","0,00",,,,"21.499.271,00","0,00","21.499.271,00","-21.499.271,00"
,,,,2,8,0,0,1,,,,,,,,,,,,,,,,,,REINTEGROS Y OTROS RECURSOS NO APROPIADOS,,,"0,00",,"0,00","0,00","0,00",,,,"21.499.271,00","0,00","21.499.271,00","-21.499.271,00"
,,,,2,8,0,0,1,9,,,,,,,,,,,,,,,,,REINTEGROS VIGENCIAS ANTERIORES,,,"0,00",,"0,00","0,00","0,00",,,,"21.499.271,00","0,00","21.499.271,00","-21.499.271,00"
,,,,2,8,0,0,1,9,1,,,,,,,,,,,,,,,,REINTEGROS VIGENCIAS ANTERIORES-FUNCIONAMIENTO,,,"0,00",,"0,00","0,00","0,00",,,,"6.892.327,00","0,00","6.892.327,00","-6.892.327,00"
,,,,2,8,0,0,1,9,4,,,,,,,,,,,,,,,,REINTEGRO INCAPACIDADES VIGENCIAS ANTERIORES,,,"0,00",,"0,00","0,00","0,00",,,,"14.606.944,00","0,00","14.606.944,00","-14.606.944,00"
,,,,2,9,,,,,,,,,,,,,,,,,,,,,RECUPERACION DE CARTERA,,,"0,00",,"0,00","0,00","56.065,00",,,,"14.909.285,00","0,00","14.909.285,00","-14.909.285,00"
,,,,2,9,0,,,,,,,,,,,,,,,,,,,,RECUPERACION DE CARTERA,,,"0,00",,"0,00","0,00","56.065,00",,,,"14.909.285,00","0,00","14.909.285,00","-14.909.285,00"
,,,,2,9,0,0,,,,,,,,,,,,,,,,,,,RECUPERACION DE CARTERA,,,"0,00",,"0,00","0,00","56.065,00",,,,"14.909.285,00","0,00","14.909.285,00","-14.909.285,00"
,,,,2,9,0,0,1,,,,,,,,,,,,,,,,,,RECUPERACION DE CARTERA,,,"0,00",,"0,00","0,00","56.065,00",,,,"14.909.285,00","0,00","14.909.285,00","-14.909.285,00"
,,,,2,9,0,0,1,5,,,,,,,,,,,,,,,,,RECUPERACIONES,,,"0,00",,"0,00","0,00","56.065,00",,,,"14.909.285,00","0,00","14.909.285,00","-14.909.285,00"
02-12-00,AGENCIA PARA LA REINCORPORACION Y LA NORMALIZACION - ARN,,,1,,,,,,,,,,,,,,,,,,,,,,INGRESOS CORRIENTES DE LA NACION,,,"0,00",,"0,00","0,00","0,00",,,,"25.904.682,00","0,00","25.904.682,00","-25.904.682,00"
,,,,1,2,,,,,,,,,,,,,,,,,,,,,INGRESOS NO TRIBUTARIOS,,,"0,00",,"0,00","0,00","0,00",,,,"25.904.682,00","0,00","25.904.682,00","-25.904.682,00"
,,,,1,2,1,,,,,,,,,,,,,,,,,,,,"TASAS, MULTAS Y CONTRIBUCIONES",,,"0,00",,"0,00","0,00","0,00",,,,"25.904.682,00","0,00","25.904.682,00","-25.904.682,00"
,,,,1,2,1,0,,,,,,,,,,,,,,,,,,,"TASAS, MULTAS Y CONTRIBUCIONES",,,"0,00",,"0,00","0,00","0,00",,,,"25.904.682,00","0,00","25.904.682,00","-25.904.682,00"
,,,,1,2,1,0,2,,,,,,,,,,,,,,,,,,"TASAS, MULTAS Y CONTRIBUCIONES",,,"0,00",,"0,00","0,00","0,00",,,,"25.904.682,00","0,00","25.904.682,00","-25.904.682,00"
