Niv1,Niv2,Niv3,Niv4,Num,Con,,Des1,,Des2,Des3,Des4,Des5,Des6,Des7,Des8,Des9,Des10,Des11,Des12,Des13,Des14,Descripción,AFORO INICIAL,,,MODIFICACIONES AFORO,AFORO VIGENTE,,,RECAUDO EN EFECTIVO MES,,RECAUDO EN EFECTIVO ACUMULADO,DEVOLUCIONES PAGADAS ACUMULADAS,,,,RECAUDO EN EFECTIVO ACUMULADO NETO,SALDO DE AFORO POR RECAUDAR
1,1,2,0,1,1,,,,,,,,,,,,,,,,,IMPUESTO SOBRE ADUANAS Y RECARGOS ,"0,00",,,"0,00","0,00",,,"2.066.343.765.229,00",,"20.972.519.160.565,00","1.498.558.291,00",,,,"20.971.020.602.274,00","-20.971.020.602.274,00"
1,1,2,0,11,,,,,,,,,,,,,,,,,,IMPUESTO AL TURISMO,"183.516.000.000,00",,,"0,00","183.516.000.000,00",,,"0,00",,"131.485.993.547,00","0,00",,,,"131.485.993.547,00","52.030.006.453,00"
1,1,2,0,11,1,,,,,,,,,,,,,,,,,IMPUESTO AL TURISMO,"0,00",,,"0,00","0,00",,,"0,00",,"131.485.993.547,00","0,00",,,,"131.485.993.547,00","-131.485.993.547,00"
1,1,2,0,12,,,,,,,,,,,,,,,,,,IMPUESTO NACIONAL AL CONSUMO,"2.542.013.000.000,00",,,"0,00","2.542.013.000.000,00",,,"22.369.645.655,00",,"2.081.317.965.291,00","194.064.848,00",,,,"2.081.123.900.443,00","460.889.099.557,00"
1,1,2,0,12,1,,,,,,,,,,,,,,,,,IMPUESTO NACIONAL AL CONSUMO,"0,00",,,"0,00","0,00",,,"22.369.645.655,00",,"2.081.317.965.291,00","194.064.848,00",,,,"2.081.123.900.443,00","-2.081.123.900.443,00"
1,1,2,0,13,,,,,,,,,,,,,,,,,,IMPUESTO NACIONAL A LA GASOLINA Y AL ACPM,"1.131.875.000.000,00",,,"0,00","1.131.875.000.000,00",,,"122.452.424.000,00",,"1.517.545.804.000,00","0,00",,,,"1.517.545.804.000,00","-385.670.804.000,00"
1,1,2,0,13,1,,,,,,,,,,,,,,,,,IMPUESTO NACIONAL A LA GASOLINA Y AL ACPM,"0,00",,,"0,00","0,00",,,"122.452.424.000,00",,"1.517.545.804.000,00","0,00",,,,"1.517.545.804.000,00","-1.517.545.804.000,00"
1,1,2,0,14,,,,,,,,,,,,,,,,,,IMPUESTO NACIONAL AL CARBONO,"644.291.000.000,00",,,"0,00","644.291.000.000,00",,,"1.892.849.000,00",,"292.177.393.000,00","0,00",,,,"292.177.393.000,00","352.113.607.000,00"
1,1,2,0,14,1,,,,,,,,,,,,,,,,,IMPUESTO NACIONAL AL CARBONO,"0,00",,,"0,00","0,00",,,"1.892.849.000,00",,"292.177.393.000,00","0,00",,,,"292.177.393.000,00","-292.177.393.000,00"
1,1,2,0,2,,,,,,,,,,,,,,,,,,IMPUESTO AL VALOR AGREGADO,"60.383.845.000.000,00",,,"-920.198.252.088,00","59.463.646.747.912,00",,,"1.065.608.552.931,00",,"39.015.896.015.974,00","444.230.275.835,00",,,,"38.571.665.740.139,00","20.891.981.007.773,00"
1,1,2,0,2,1,,,,,,,,,,,,,,,,,IVA  INTERNO ,"0,00",,,"0,00","0,00",,,"502.274.822.906,00",,"33.025.916.779.167,00","444.230.275.835,00",,,,"32.581.686.503.332,00","-32.581.686.503.332,00"
1,1,2,0,2,2,,,,,,,,,,,,,,,,,RETENCION IVA  INTERNO ,"0,00",,,"0,00","0,00",,,"563.333.730.025,00",,"5.989.979.236.807,00","0,00",,,,"5.989.979.236.807,00","-5.989.979.236.807,00"
1,1,2,0,5,,,,,,,,,,,,,,,,,,IMPUESTO DE TIMBRE NACIONAL,"115.911.000.000,00",,,"0,00","115.911.000.000,00",,,"7.013.422.000,00",,"82.259.600.500,00","0,00",,,,"82.259.600.500,00","33.651.399.500,00"
1,1,2,0,5,1,,,,,,,,,,,,,,,,,IMPUESTO DE TIMBRE,"0,00",,,"0,00","0,00",,,"7.013.422.000,00",,"82.259.600.500,00","0,00",,,,"82.259.600.500,00","-82.259.600.500,00"
1,1,2,0,6,,,,,,,,,,,,,,,,,,IMPUESTO DE TIMBRE NACIONAL SOBRE SALIDAS AL EXTERIOR,"247.478.000.000,00",,,"0,00","247.478.000.000,00",,,"28.268.482.000,00",,"300.141.353.153,00","120.680.000,00",,,,"300.020.673.153,00","-52.542.673.153,00"
1,1,2,0,6,1,,,,,,,,,,,,,,,,,IMPUESTO DE TIMBRE NACIONAL SOBRE SALIDAS AL EXTERIOR,"0,00",,,"0,00","0,00",,,"28.268.482.000,00",,"300.141.353.153,00","120.680.000,00",,,,"300.020.673.153,00","-300.020.673.153,00"
1,1,2,0,7,,,,,,,,,,,,,,,,,,IMPUESTO AL ORO Y AL PLATINO,"28.224.000.000,00",,,"0,00","28.224.000.000,00",,,"3.133.089.226,00",,"33.444.692.619,00","0,00",,,,"33.444.692.619,00","-5.220.692.619,00"
1,1,2,0,7,1,,,,,,,,,,,,,,,,,IMPUESTO  AL  ORO  Y  AL  PLATINO,"0,00",,,"0,00","0,00",,,"3.133.089.226,00",,"33.444.692.619,00","0,00",,,,"33.444.692.619,00","-33.444.692.619,00"
1,1,2,0,9,,,,,,,,,,,,,,,,,,GRAVAMEN A LOS MOVIMIENTOS FINANCIEROS,"7.992.020.000.000,00",,,"0,00","7.992.020.000.000,00",,,"560.411.192.000,00",,"6.794.582.733.000,00","186.000,00",,,,"6.794.582.547.000,00","1.197.437.453.000,00"
1,1,2,0,9,1,,,,,,,,,,,,,,,,,GRAVAMEN  A  LOS  MOVIMIENTOS  FINANCIEROS,"0,00",,,"0,00","0,00",,,"560.411.192.000,00",,"6.794.582.733.000,00","186.000,00",,,,"6.794.582.547.000,00","-6.794.582.547.000,00"
1,2,,,,,,,,,,,,,,,,,,,,,INGRESOS NO TRIBUTARIOS,"739.862.000.000,00",,,"0,00","739.862.000.000,00",,,"35.768.011.522,44",,"324.320.624.603,66","610.737.403,24",,,,"323.709.887.200,42","416.152.112.799,58"
1,2,1,,,,,,,,,,,,,,,,,,,,"TASAS, MULTAS Y CONTRIBUCIONES","739.862.000.000,00",,,"0,00","739.862.000.000,00",,,"35.768.011.522,44",,"324.320.624.603,66","610.737.403,24",,,,"323.709.887.200,42","416.152.112.799,58"
1,2,1,0,,,,,,,,,,,,,,,,,,,"TASAS, MULTAS Y CONTRIBUCIONES","739.862.000.000,00",,,"0,00","739.862.000.000,00",,,"35.768.011.522,44",,"324.320.624.603,66","610.737.403,24",,,,"323.709.887.200,42","416.152.112.799,58"
1,2,1,0,2,,,,,,,,,,,,,,,,,,"TASAS, MULTAS Y CONTRIBUCIONES","739.862.000.000,00",,,"0,00","739.862.000.000,00",,,"34.900.681.418,44",,"321.092.366.031,66","610.737.403,24",,,,"320.481.628.628,42","419.380.371.371,58"
1,2,1,0,2,1,,,,,,,,,,,,,,,,,TASAS,"0,00",,,"0,00","0,00",,,"19.050.974.239,56",,"224.862.305.055,01","47.212.200,00",,,,"224.815.092.855,01","-224.815.092.855,01"
1,2,1,0,2,1,,1,,,,,,,,,,,,,,,ESPECIES VENALES,"0,00",,,"0,00","0,00",,,"0,00",,"0,00","46.894.700,00",,,,"-46.894.700,00","46.894.700,00"
1,2,1,0,2,1,,10,,,,,,,,,,,,,,,PRIMA CONTRATOS DE ESTABILIDAD JURIDICA(LEY 963/05),"0,00",,,"0,00","0,00",,,"1.552.456.173,00",,"87.250.295.518,00","0,00",,,,"87.250.295.518,00","-87.250.295.518,00"
1,2,1,0,2,1,,11,,,,,,,,,,,,,,,USO VIAS FLUVIALES,"0,00",,,"0,00","0,00",,,"0,00",,"8.749.500,02","0,00",,,,"8.749.500,02","-8.749.500,02"
1,2,1,0,2,1,,12,,,,,,,,,,,,,,,LICENCIAS SEMILLAS CANNABIS,"0,00",,,"0,00","0,00",,,"6.033.457.831,74",,"9.319.716.425,56","0,00",,,,"9.319.716.425,56","-9.319.716.425,56"
1,2,1,0,2,1,,2,,,,,,,,,,,,,,,TARJETAS PROFESIONALES,"0,00",,,"0,00","0,00",,,"0,00",,"0,00","317.500,00",,,,"-317.500,00","317.500,00"
1,2,1,0,2,1,,3,,,,,,,,,,,,,,,CREDENCIALES Y CARNETS,"0,00",,,"0,00","0,00",,,"6.436.198,38",,"54.146.633,11","0,00",,,,"54.146.633,11","-54.146.633,11"
1,2,1,0,2,1,,4,,,,,,,,,,,,,,,CERTIFICACIONES Y PAZ Y SALVOS,"0,00",,,"0,00","0,00",,,"3.880.063,26",,"54.238.090,38","0,00",,,,"54.238.090,38","-54.238.090,38"
1,2,1,0,2,1,,6,,,,,,,,,,,,,,,ARRENDAMIENTOS,"0,00",,,"0,00","0,00",,,"438.634.714,18",,"4.901.641.070,89","0,00",,,,"4.901.641.070,89","-4.901.641.070,89"
1,2,1,0,2,1,,8,,,,,,,,,,,,,,,PUBLICACIONES,"0,00",,,"0,00","0,00",,,"0,00",,"0,00","0,00",,,,"0,00","0,00"
1,2,1,0,2,1,,9,,,,,,,,,,,,,,,FORMULARIOS Y ESPECIES VALORADAS,"0,00",,,"0,00","0,00",,,"11.016.109.259,00",,"123.273.517.817,05","0,00",,,,"123.273.517.817,05","-123.273.517.817,05"
1,2,1,0,2,2,,,,,,,,,,,,,,,,,MULTAS,"0,00",,,"0,00","0,00",,,"822.791.178,13",,"22.637.765.569,60","358.470.457,24",,,,"22.279.295.112,36","-22.279.295.112,36"
1,2,1,0,2,2,,1,,,,,,,,,,,,,,,INFRACCIONES,"0,00",,,"0,00","0,00",,,"0,00",,"0,00","4.820.400,00",,,,"-4.820.400,00","4.820.400,00"
1,2,1,0,2,2,,3,,,,,,,,,,,,,,,MULTAS SUPERINTENDENCIAS,"0,00",,,"0,00","0,00",,,"498.121.276,74",,"15.700.759.354,01","289.405.648,41",,,,"15.411.353.705,60","-15.411.353.705,60"
1,2,1,0,2,2,,5,,,,,,,,,,,,,,,OTRAS MULTAS,"0,00",,,"0,00","0,00",,,"324.669.901,39",,"6.937.006.215,59","64.244.408,83",,,,"6.872.761.806,76","-6.872.761.806,76"
1,2,1,0,2,3,,,,,,,,,,,,,,,,,SANCIONES,"0,00",,,"0,00","0,00",,,"7.059.135.895,72",,"35.509.227.198,38","204.918.146,00",,,,"35.304.309.052,38","-35.304.309.052,38"
1,2,1,0,2,3,,2,,,,,,,,,,,,,,,SANCIONES ADUANERAS,"0,00",,,"0,00","0,00",,,"1.718.042,00",,"612.457.470,00","0,00",,,,"612.457.470,00","-612.457.470,00"
1,2,1,0,2,3,,4,,,,,,,,,,,,,,,SANCIONES DISCIPLINARIAS,"0,00",,,"0,00","0,00",,,"47.025.564,00",,"216.055.868,26","0,00",,,,"216.055.868,26","-216.055.868,26"
1,2,1,0,2,3,,5,,,,,,,,,,,,,,,SANCIONES CONTRACTUALES,"0,00",,,"0,00","0,00",,,"655.984.199,71",,"5.493.751.341,33","4.834.418,00",,,,"5.488.916.923,33","-5.488.916.923,33"
1,2,1,0,2,3,,7,,,,,,,,,,,,,,,SANCIONES ADMINISTRATIVAS Y FISCALES,"0,00",,,"0,00","0,00",,,"6.354.408.090,01",,"29.186.962.518,79","200.083.728,00",,,,"28.986.878.790,79","-28.986.878.790,79"
1,2,1,0,2,4,,,,,,,,,,,,,,,,,CONTRIBUCIONES NO ESPECIFICADAS,"0,00",,,"0,00","0,00",,,"7.967.780.105,03",,"38.083.068.208,67","136.600,00",,,,"38.082.931.608,67","-38.082.931.608,67"
1,2,1,0,2,4,,1,,,,,,,,,,,,,,,CONTRIBUCIONES NO ESPECIFICADAS,"0,00",,,"0,00","0,00",,,"7.967.780.105,03",,"38.083.068.208,67","136.600,00",,,,"38.082.931.608,67","-38.082.931.608,67"
1,2,1,0,3,,,,,,,,,,,,,,,,,,"CONTRIBUCIONES ESPECIALES POR EXPLOTACION O EXPORTACION DE PETROLEO CRUDO,GAS LIBRE,CARBON Y FERRONIQUEL","0,00",,,"0,00","0,00",,,"867.330.104,00",,"3.228.258.572,00","0,00",,,,"3.228.258.572,00","-3.228.258.572,00"
1,2,1,0,3,1,,,,,,,,,,,,,,,,,CONTRIBUCIONES ESPECIALES POR EXPLOTACION O EXPORTACION DE PETROLEO,"0,00",,,"0,00","0,00",,,"867.330.104,00",,"3.228.258.572,00","0,00",,,,"3.228.258.572,00","-3.228.258.572,00"
2,,,,,,,,,,,,,,,,,,,,,,RECURSOS DE CAPITAL DE LA NACION,"68.252.521.925.298,00",,,"60.783.707.119,00","68.313.305.632.417,00",,,"4.236.606.410.499,57",,"59.078.976.567.870,26","11.314.352.043,98",,,,"59.067.662.215.826,28","9.245.643.416.590,72"
2,1,,,,,,,,,,,,,,,,,,,,,ENAJENACION DE ACTIVOS,"0,00",,,"0,00","0,00",,,"38.786.207.790,00",,"72.847.766.605,02","0,00",,,,"72.847.766.605,02","-72.847.766.605,02"
2,1,0,,,,,,,,,,,,,,,,,,,,ENAJENACION DE ACTIVOS,"0,00",,,"0,00","0,00",,,"38.786.207.790,00",,"72.847.766.605,02","0,00",,,,"72.847.766.605,02","-72.847.766.605,02"
2,1,0,0,,,,,,,,,,,,,,,,,,,ENAJENACION DE ACTIVOS,"0,00",,,"0,00","0,00",,,"38.786.207.790,00",,"72.847.766.605,02","0,00",,,,"72.847.766.605,02","-72.847.766.605,02"
2,1,0,0,1,,,,,,,,,,,,,,,,,,ENAJENACION DE ACTIVOS,"0,00",,,"0,00","0,00",,,"38.786.207.790,00",,"72.847.766.605,02","0,00",,,,"72.847.766.605,02","-72.847.766.605,02"
2,1,0,0,1,1,,,,,,,,,,,,,,,,,VENTA DE MUEBLES,"0,00",,,"0,00","0,00",,,"36.593.833,00",,"878.773.233,24","0,00",,,,"878.773.233,24","-878.773.233,24"
2,1,0,0,1,2,,,,,,,,,,,,,,,,,VENTA DE  INMUEBLES,"0,00",,,"0,00","0,00",,,"38.749.613.957,00",,"44.431.248.446,78","0,00",,,,"44.431.248.446,78","-44.431.248.446,78"
2,1,0,0,1,3,,,,,,,,,,,,,,,,,VENTA DE INVERSIONES,"0,00",,,"0,00","0,00",,,"0,00",,"27.537.744.925,00","0,00",,,,"27.537.744.925,00","-27.537.744.925,00"
2,1,0,0,1,3,,1,,,,,,,,,,,,,,,INVERSIONES PATRIMONIALES NO CONTROLANTES,"0,00",,,"0,00","0,00",,,"0,00",,"27.537.744.925,00","0,00",,,,"27.537.744.925,00","-27.537.744.925,00"
2,2,,,,,,,,,,,,,,,,,,,,,EXCEDENTES FINANCIEROS DE ENTIDADES DESCENTRALIZADAS,"2.988.640.062.898,00",,,"0,00","2.988.640.062.898,00",,,"377.743.209.072,26",,"5.557.368.827.976,75","0,00",,,,"5.557.368.827.976,75","-2.568.728.765.078,75"
2,2,0,,,,,,,,,,,,,,,,,,,,EXCEDENTES FINANCIEROS DE ENTIDADES DESCENTRALIZADAS,"2.988.640.062.898,00",,,"0,00","2.988.640.062.898,00",,,"377.743.209.072,26",,"5.557.368.827.976,75","0,00",,,,"5.557.368.827.976,75","-2.568.728.765.078,75"
2,2,0,0,,,,,,,,,,,,,,,,,,,EXCEDENTES FINANCIEROS DE ENTIDADES DESCENTRALIZADAS,"2.988.640.062.898,00",,,"0,00","2.988.640.062.898,00",,,"377.743.209.072,26",,"5.557.368.827.976,75","0,00",,,,"5.557.368.827.976,75","-2.568.728.765.078,75"
2,2,0,0,1,,,,,,,,,,,,,,,,,,EXCEDENTES FINANCIEROS DE ENTIDADES DESCENTRALIZADAS,"2.988.640.062.898,00",,,"0,00","2.988.640.062.898,00",,,"377.743.209.072,26",,"5.557.368.827.976,75","0,00",,,,"5.557.368.827.976,75","-2.568.728.765.078,75"
2,2,0,0,1,1,,,,,,,,,,,,,,,,,ESTAPUBLICOS,"0,00",,,"0,00","0,00",,,"222.350.037.779,26",,"919.952.457.486,69","0,00",,,,"919.952.457.486,69","-919.952.457.486,69"
2,2,0,0,1,2,,,,,,,,,,,,,,,,,EMPRESAS INDUSTRIALES Y COMERCIALES DEL ESTADO,"0,00",,,"0,00","0,00",,,"0,00",,"6.473.146.720,00","0,00",,,,"6.473.146.720,00","-6.473.146.720,00"
2,2,0,0,1,3,,,,,,,,,,,,,,,,,SOCIEDADES DE ECONOMIA MIXTA,"0,00",,,"0,00","0,00",,,"1.066.107.262,00",,"58.448.153.555,00","0,00",,,,"58.448.153.555,00","-58.448.153.555,00"
2,2,0,0,1,4,,,,,,,,,,,,,,,,,BANCO DE LA REPUBLICA,"0,00",,,"0,00","0,00",,,"0,00",,"761.022.518.892,87","0,00",,,,"761.022.518.892,87","-761.022.518.892,87"
2,2,0,0,1,5,,,,,,,,,,,,,,,,,DIVIDENDOS Y PARTICIPACIONES,"0,00",,,"0,00","0,00",,,"154.327.064.031,00",,"3.811.472.551.322,19","0,00",,,,"3.811.472.551.322,19","-3.811.472.551.322,19"
2,2,0,0,1,5,,1,,,,,,,,,,,,,,,INVERSIONES PATRIMONIALES EN NO CONTROLADAS,"0,00",,,"0,00","0,00",,,"0,00",,"710.009.200,52","0,00",,,,"710.009.200,52","-710.009.200,52"
2,2,0,0,1,5,,4,,,,,,,,,,,,,,,INVERSIONES EN ENTIDADES CONTROLADAS-SOCIEDADES DE ECONOMIA MIXTA,"0,00",,,"0,00","0,00",,,"154.327.064.031,00",,"3.810.762.542.121,67","0,00",,,,"3.810.762.542.121,67","-3.810.762.542.121,67"
2,4,,,,,,,,,,,,,,,,,,,,,RENDIMIENTOS FINANCIEROS,"1.930.902.079.303,00",,,"0,00","1.930.902.079.303,00",,,"43.695.043.280,66",,"501.312.315.317,60","54.191.013,27",,,,"501.258.124.304,33","1.429.643.954.998,67"
2,4,0,,,,,,,,,,,,,,,,,,,,RENDIMIENTOS FINANCIEROS,"1.930.902.079.303,00",,,"0,00","1.930.902.079.303,00",,,"43.695.043.280,66",,"501.312.315.317,60","54.191.013,27",,,,"501.258.124.304,33","1.429.643.954.998,67"
2,4,0,0,,,,,,,,,,,,,,,,,,,RENDIMIENTOS FINANCIEROS,"1.930.902.079.303,00",,,"0,00","1.930.902.079.303,00",,,"43.695.043.280,66",,"501.312.315.317,60","54.191.013,27",,,,"501.258.124.304,33","1.429.643.954.998,67"
2,4,0,0,1,,,,,,,,,,,,,,,,,,RENDIMIENTOS FINANCIEROS,"1.930.902.079.303,00",,,"0,00","1.930.902.079.303,00",,,"43.695.043.280,66",,"501.312.315.317,60","54.191.013,27",,,,"501.258.124.304,33","1.429.643.954.998,67"
2,4,0,0,1,1,,,,,,,,,,,,,,,,,RENDIMIENTOS SOBRE DEPÓSITOS EN ADMINISTRACION,"0,00",,,"0,00","0,00",,,"5.360.355.222,93",,"163.033.890.477,08","13.133.164,00",,,,"163.020.757.313,08","-163.020.757.313,08"
2,4,0,0,1,11,,,,,,,,,,,,,,,,,RENDIMIENTOS FINANCIEROS POR ANTICIPOS A TERCEROS,"0,00",,,"0,00","0,00",,,"2.489.638.022,82",,"6.325.274.501,03","0,00",,,,"6.325.274.501,03","-6.325.274.501,03"
2,4,0,0,1,12,,,,,,,,,,,,,,,,,RENDIMIENTOS FINANCIEROS EN INVERSIONES FIDUCIARIAS-ZOMAC,"0,00",,,"0,00","0,00",,,"0,00",,"2.892.889.347,73","0,00",,,,"2.892.889.347,73","-2.892.889.347,73"
2,4,0,0,1,2,,,,,,,,,,,,,,,,,RENDIMIENTOS SOBRE CREDITOS PRESUPUESTALES ENTIDADES ORDEN NACIONAL,"0,00",,,"0,00","0,00",,,"0,00",,"433.459.850,15","0,00",,,,"433.459.850,15","-433.459.850,15"
2,4,0,0,1,3,,,,,,,,,,,,,,,,,RENDIMIENTOS SOBRE CREDITOS PRESUPUESTALES ENTIDADES ORDEN DEPARTAMENTAL,"0,00",,,"0,00","0,00",,,"206.011.928,52",,"206.011.928,52","0,00",,,,"206.011.928,52","-206.011.928,52"
2,4,0,0,1,6,,,,,,,,,,,,,,,,,RENDIMIENTOS FINANCIEROS GENERADOS POR FONDOS,"0,00",,,"0,00","0,00",,,"360.946.869,58",,"4.945.559.672,70","0,00",,,,"4.945.559.672,70","-4.945.559.672,70"
2,4,0,0,1,7,,,,,,,,,,,,,,,,,RENDIMIENTOS FINANCIEROS CUENTAS BANCARIAS,"0,00",,,"0,00","0,00",,,"12.423.320.789,31",,"84.592.902.241,29","20.371.662,27",,,,"84.572.530.579,02","-84.572.530.579,02"
2,4,0,0,1,8,,,,,,,,,,,,,,,,,RENDIMIENTOS FINANCIEROS DE INVERSIONES,"0,00",,,"0,00","0,00",,,"102.738.658,91",,"2.981.823.947,65","20.686.187,00",,,,"2.961.137.760,65","-2.961.137.760,65"
2,4,0,0,1,9,,,,,,,,,,,,,,,,,RENDIMIENTOS FINANCIEROS SOBRE ACUERDOS DE PAGO,"0,00",,,"0,00","0,00",,,"22.752.031.788,59",,"235.900.503.351,45","0,00",,,,"235.900.503.351,45","-235.900.503.351,45"
2,5,,,,,,,,,,,,,,,,,,,,,RECURSOS DE CREDITO EXTERNO,"11.720.000.000.000,00",,,"-16.035.843.645,00","11.703.964.156.355,00",,,"2.987.676.919.439,53",,"12.412.274.661.022,80","0,00",,,,"12.412.274.661.022,80","-708.310.504.667,80"
