Tabla 1
UEJ;NOMBRE UEJ;RUBRO;TIPO;CTA;"SUB
CTA";OBJ;ORD;"SOR
ORD";ITEM;"SUB
ITEM";FUENTE;REC;SIT;DESCRIPCION;APR. INICIAL;APR. ADICIONADA;APR. REDUCIDA;APR. VIGENTE;APR BLOQUEADA;CDP;APR. DISPONIBLE;COMPROMISO;OBLIGACION;ORDEN PAGO;PAGOS
10101;SENADO DE LA REPÚBLICA;;A;3;2;1;1;;;;Nación;11;S;CUOTA DE AUDITAJE CONTRANAL; 	320.000.000 ; 	-   ; 	-   ; 	320.000.000 ; 	-   ; 	320.000.000 ; 	-   ; 	320.000.000 ; 	320.000.000 ; 	320.000.000 ; 	320.000.000 
10101;SENADO DE LA REPÚBLICA;;A;3;4;1;96;;;;Nación;10;C;PARLAMENTO LATINOAMERICANO (LEY 83 DE 1988); 	88.200.000 ; 	87.000.000 ; 	-   ; 	175.200.000 ; 	-   ; 	175.200.000 ; 	-   ; 	175.200.000 ; 	175.200.000 ; 	175.200.000 ; 	175.200.000 
10101;SENADO DE LA REPÚBLICA;;A;3;4;1;114;;;;Nación;10;C;UNION INTERPARLAMENTARIA (LEY 204/95); 	96.300.000 ; 	56.000.000 ; 	-   ; 	152.300.000 ; 	-   ; 	151.828.694 ; 	471.306 ; 	151.828.694 ; 	151.828.694 ; 	151.828.694 ; 	151.828.694 
10101;SENADO DE LA REPÚBLICA;;A;3;4;1;122;;;;Nación;10;C;FORO INTERPARLAMENTARIO PARA LAS AMERICAS - FIPA (LEY 1096 DE 2006); 	19.289.700 ; 	17.000.000 ; 	-   ; 	36.289.700 ; 	-   ; 	35.912.808 ; 	376.892 ; 	35.912.808 ; 	35.912.808 ; 	35.912.808 ; 	35.912.808 
10101;SENADO DE LA REPÚBLICA;;A;3;5;3;43;;;;Nación;10;C;SEGURO DE VIDA - SENADORES Y REPRESENTANTES (ART. 389 - LEY 5 DE 1992); 	1.406.000.000 ; 	-   ; 	1.104.814.585 ; 	301.185.415 ; 	-   ; 	301.185.415 ; 	1 ; 	301.185.415 ; 	294.384.090 ; 	294.384.090 ; 	294.384.090 
10101;SENADO DE LA REPÚBLICA;;A;3;6;1;1;;;;Nación;10;C;SENTENCIAS Y CONCILIACIONES; 	-   ; 	2.830.000.000 ; 	-   ; 	2.830.000.000 ; 	-   ; 	2.091.027.152 ; 	738.972.848 ; 	2.091.027.152 ; 	2.091.027.152 ; 	2.091.027.152 ; 	2.091.027.152 
10101;SENADO DE LA REPÚBLICA;;A;3;6;3;19;;;;Nación;10;C;OTRAS TRANSFERENCIAS - DISTRIBUCION PREVIO CONCEPTO DGPPN; 	-   ; 	830.000.000 ; 	830.000.000 ; 	-   ; 	-   ; 	-   ; 	-   ; 	-   ; 	-   ; 	-   ; 	-   
10101;SENADO DE LA REPÚBLICA;;A;3;6;3;20;;;;Nación;10;C;OTRAS TRANSFERENCIAS - PREVIO CONCEPTO DGPPN; 	7.329.830.198 ; 	-   ; 	7.000.000.000 ; 	329.830.198 ; 	329.830.198 ; 	-   ; 	-   ; 	-   ; 	-   ; 	-   ; 	-   
10101;SENADO DE LA REPÚBLICA;;C;0101;1000;2;;;;;Nación;11;C;IMPLEMENTACIÓN DE ESTRATEGIAS DE PARTICIPACIÓN DE LA SOCIEDAD, EN LA ACTIVIDAD LEGISLATIVA DEL SENADO DE LA REPÚBLICA, A NIVEL NACIONAL; 	3.000.000.000 ; 	-   ; 	-   ; 	3.000.000.000 ; 	-   ; 	2.381.341.747 ; 	618.658.253 ; 	2.235.341.747 ; 	2.234.248.280 ; 	1.538.098.280 ; 	1.538.098.280 
10101;SENADO DE LA REPÚBLICA;;C;0199;1000;1;;;;;Nación;11;C;DOTACIÓN DE VEHÍCULOS PARA EL MEJORAMIENTO DE LAS CONDICIONES DE SEGURIDAD Y OPORTUNIDAD EN LOS DESPLAZAMIENTOS DEL SENADO DE LA REPÚBLICA; 	21.723.303.705 ; 	-   ; 	14.054.144.376 ; 	7.669.159.329 ; 	-   ; 	7.669.159.329 ; 	-   ; 	7.669.159.329 ; 	7.669.159.329 ; 	7.669.159.329 ; 	7.669.159.329 
10101;SENADO DE LA REPÚBLICA;;C;0199;1000;2;;;;;Nación;11;C;FORTALECIMIENTO Y MODERNIZACIÓN DE LA PLATAFORMA TECNOLÓGICA Y LA GESTIÓN DOCUMENTAL DEL SENADO DE LA REPÚBLICA , , BOGOTÁ; 	5.700.000.000 ; 	-   ; 	3.156.449.547 ; 	2.543.550.453 ; 	-   ; 	2.191.865.691 ; 	351.684.762 ; 	2.191.865.691 ; 	1.165.135.920 ; 	895.566.059 ; 	895.566.059 
10101;SENADO DE LA REPÚBLICA;;C;0199;1000;3;;;;;Nación;11;C;AMPLIACION Y ACTUALIZACION DEL SISTEMA INTEGRADO DE SEGURIDAD DEL CONGRESO DE LA REPUBLICA; 	-   ; 	3.423.303.705 ; 	3.116.058.205 ; 	307.245.500 ; 	-   ; 	216.245.500 ; 	91.000.000 ; 	216.245.500 ; 	216.245.500 ; 	216.245.500 ; 	216.245.500 
10101;SENADO DE LA REPÚBLICA;;C;0199;1000;4;;;;;Nación;11;C;ADECUACIÓN Y MODERNIZACION DE LAS INSTALACIONES FÍSICAS DEL SENADO DE LA REPÚBLICA; 	4.800.000.000 ; 	500.000.000 ; 	1.749.272.984 ; 	3.550.727.016 ; 	-   ; 	3.092.327.016 ; 	458.400.000 ; 	3.092.327.016 ; 	3.014.442.694 ; 	2.518.838.659 ; 	2.518.838.659 
10101;SENADO DE LA REPÚBLICA;;C;0199;1000;5;;;;;Nación;11;C;RESTAURACIÓN CAPITOLIO NACIONAL Y CASA DEL PROCER JOSÉ NICOLÁS DE RIVAS  BOGOTA D.C.; 	2.000.000.000 ; 	-   ; 	2.000.000.000 ; 	-   ; 	-   ; 	-   ; 	-   ; 	-   ; 	-   ; 	-   ; 	-   
10101;SENADO DE LA REPÚBLICA;;C;0199;1000;6;;;;;Nación;11;C;MEJORAMIENTO DE LAS CONDICIONES DE SEGURIDAD Y OPORTUNIDAD EN LOS DESPLAZAMIENTOS DE LOS SERVIDORES PUBLICOS DEL SENADO DE LA REPUBLICA NACIONAL; 	-   ; 	20.152.621.407 ; 	-   ; 	20.152.621.407 ; 	-   ; 	20.149.465.666 ; 	3.155.741 ; 	20.149.465.666 ; 	19.440.283.795 ; 	19.440.283.795 ; 	19.440.283.795 
10102;CÁMARA DE REPRESENTANTES;;A;1;0;1;1;;;;Nación;10;C;SUELDOS DE PERSONAL DE NOMINA; 	91.641.994.938 ; 	15.828.095.704 ; 	9.764.998.445 ; 	97.705.092.197 ; 	-   ; 	97.705.079.672 ; 	12.525 ; 	97.656.761.994 ; 	97.656.761.994 ; 	97.656.761.994 ; 	97.656.761.994 
10102;CÁMARA DE REPRESENTANTES;;A;1;0;1;4;;;;Nación;10;C;PRIMA TECNICA; 	3.181.183.752 ; 	-   ; 	120.000.000 ; 	3.061.183.752 ; 	-   ; 	3.060.671.830 ; 	511.922 ; 	3.060.671.830 ; 	3.060.671.830 ; 	3.060.671.830 ; 	3.060.671.830 
10102;CÁMARA DE REPRESENTANTES;;A;1;0;1;5;;;;Nación;10;C;OTROS; 	64.217.374.776 ; 	13.387.904.296 ; 	4.691.206.000 ; 	72.914.073.072 ; 	-   ; 	72.911.377.696 ; 	2.695.376 ; 	72.911.377.696 ; 	72.911.377.696 ; 	72.911.377.696 ; 	72.911.377.696 
10102;CÁMARA DE REPRESENTANTES;;A;1;0;1;8;;;;Nación;10;C;OTROS GASTOS PERSONALES - DISTRIBUCION PREVIO CONCEPTO DGPPN; 	-   ; 	39.002.000.000 ; 	39.002.000.000 ; 	-   ; 	-   ; 	-   ; 	-   ; 	-   ; 	-   ; 	-   ; 	-   
10102;CÁMARA DE REPRESENTANTES;;A;1;0;1;9;;;;Nación;10;C;HORAS EXTRAS, DIAS FESTIVOS E INDEMNIZACION POR VACACIONES; 	-   ; 	185.000.000 ; 	-   ; 	185.000.000 ; 	-   ; 	184.902.147 ; 	97.853 ; 	184.902.147 ; 	184.902.147 ; 	184.902.147 ; 	184.902.147 
10102;CÁMARA DE REPRESENTANTES;;A;1;0;2;;;;;Nación;10;C;SERVICIOS PERSONALES INDIRECTOS; 	3.360.416.000 ; 	11.250.998.445 ; 	-   ; 	14.611.414.445 ; 	-   ; 	14.604.001.765 ; 	7.412.680 ; 	14.597.920.764 ; 	14.280.793.135 ; 	14.173.827.032 ; 	14.173.827.032 
10102;CÁMARA DE REPRESENTANTES;;A;1;0;5;;;;;Nación;10;C;CONTRIBUCIONES INHERENTES A LA NOMINA SECTOR PRIVADO Y PUBLICO; 	54.961.483.909 ; 	18.831.000.000 ; 	8.269.000.000 ; 	65.523.483.909 ; 	-   ; 	65.502.685.529 ; 	20.798.380 ; 	65.495.278.375 ; 	65.495.278.375 ; 	60.581.051.115 ; 	60.581.051.115 
10102;CÁMARA DE REPRESENTANTES;;A;2;0;3;;;;;Nación;10;C;IMPUESTOS Y MULTAS; 	166.000.000 ; 	-   ; 	135.000.000 ; 	31.000.000 ; 	-   ; 	15.818.993 ; 	15.181.007 ; 	15.818.993 ; 	15.818.993 ; 	15.818.993 ; 	15.818.993 
10102;CÁMARA DE REPRESENTANTES;;A;2;0;4;;;;;Nación;10;C;ADQUISICION DE BIENES Y SERVICIOS; 	21.360.068.992 ; 	8.076.000.000 ; 	-   ; 	29.436.068.992 ; 	-   ; 	29.395.136.339 ; 	40.932.653 ; 	29.377.353.215 ; 	28.948.922.088 ; 	25.273.886.675 ; 	25.273.886.675 
10102;CÁMARA DE REPRESENTANTES;;A;3;2;1;1;;;;Nación;11;S;CUOTA DE AUDITAJE CONTRANAL; 	417.000.000 ; 	-   ; 	-   ; 	417.000.000 ; 	-   ; 	399.027.860 ; 	17.972.140 ; 	399.027.860 ; 	399.027.860 ; 	399.027.860 ; 	399.027.860 
10102;CÁMARA DE REPRESENTANTES;;A;3;5;3;43;;;;Nación;10;C;SEGURO DE VIDA - SENADORES Y REPRESENTANTES (ART. 389 - LEY 5 DE 1992); 	400.000.000 ; 	-   ; 	-   ; 	400.000.000 ; 	-   ; 	394.953.758 ; 	5.046.242 ; 	380.066.376 ; 	376.450.662 ; 	349.667.465 ; 	349.667.465 
10102;CÁMARA DE REPRESENTANTES;;A;3;6;1;1;;;;Nación;10;C;SENTENCIAS Y CONCILIACIONES; 	-   ; 	6.206.000 ; 	-   ; 	6.206.000 ; 	-   ; 	6.205.095 ; 	905 ; 	6.205.095 ; 	6.205.095 ; 	6.205.095 ; 	6.205.095 
10102;CÁMARA DE REPRESENTANTES;;A;3;6;3;21;;;;Nación;10;C;OTRAS TRANSFERENCIAS; 	5.583.000.000 ; 	-   ; 	5.583.000.000 ; 	-   ; 	-   ; 	-   ; 	-   ; 	-   ; 	-   ; 	-   ; 	-   
10102;CÁMARA DE REPRESENTANTES;;C;0101;1000;1;;;;;Nación;10;C;IMPLEMENTACION DE ESTRATEGIAS DE PARTICIPACIÓN Y COMUNICACIÓN EN LA ACTIVIDAD LEGISLATIVA DE LA CÁMARA DE REPRESENTANTES A NIVEL NACIONAL; 	-   ; 	1.047.200.000 ; 	-   ; 	1.047.200.000 ; 	-   ; 	1.047.200.000 ; 	-   ; 	1.047.200.000 ; 	628.320.000 ; 	418.880.000 ; 	418.880.000 
10102;CÁMARA DE REPRESENTANTES;;C;0199;1000;1;;;;;Nación;11;C;DOTACIÓN DE VEHÍCULOS PARA EL MEJORAMIENTO DE LAS CONDICIONES DE SEGURIDAD Y OPORTUNIDAD EN LOS DESPLAZAMIENTOS DE LA CÁMARA DE REPRESENTANTES; 	31.000.000.000 ; 	-   ; 	20.585.046.256 ; 	10.414.953.744 ; 	-   ; 	10.414.953.744 ; 	-   ; 	10.414.953.744 ; 	10.414.953.744 ; 	10.414.953.744 ; 	10.414.953.744 
10102;CÁMARA DE REPRESENTANTES;;C;0199;1000;2;;;;;Nación;11;C;MEJORAMIENTO DE LAS CONDICIONES DE SEGURIDAD Y PROTECCION EN LOS DESPLAZAMIENTOS DE LOS REPRESENTANTES A LA CAMARA. NACIONAL; 	-   ; 	17.877.475.722 ; 	-   ; 	17.877.475.722 ; 	-   ; 	17.877.475.722 ; 	-   ; 	17.877.475.722 ; 	17.877.475.722 ; 	10.596.138.049 ; 	10.596.138.049 
10102;CÁMARA DE REPRESENTANTES;;C;0199;1000;3;;;;;Nación;11;C;MEJORAMIENTO Y ACTUALIZACION TECNOLOGICA DEL SALON ELIPTICO Y DE LAS COMISIONES DE LA CAMARA DE REPRESENTANTES A NIVEL NACIONAL; 	-   ; 	2.000.000.000 ; 	1.292.429.466 ; 	707.570.534 ; 	-   ; 	707.570.534 ; 	-   ; 	707.570.500 ; 	283.028.200 ; 	283.028.200 ; 	283.028.200 
10102;CÁMARA DE REPRESENTANTES;;C;0199;1000;4;;;;;Nación;11;C;MEJORAMIENTO DEL SISTEMA DE GESTION DOCUMENTAL Y DE LA INFORMACION EN LA CAMARA DE REPRESENTANTES BOGOTA; 	-   ; 	2.000.000.000 ; 	-   ; 	2.000.000.000 ; 	-   ; 	2.000.000.000 ; 	-   ; 	2.000.000.000 ; 	1.807.000.000 ; 	1.797.000.000 ; 	1.797.000.000 
20101;PRESIDENCIA DE LA REPUBLICA - GESTION GENERAL;;A;1;0;1;1;;;;Nación;10;C;SUELDOS DE PERSONAL DE NOMINA; 	33.221.000.000 ; 	-   ; 	-   ; 	33.221.000.000 ; 	-   ; 	32.932.407.024 ; 	288.592.976 ; 	32.932.407.024 ; 	32.932.407.024 ; 	32.932.407.024 ; 	32.932.407.024 
20101;PRESIDENCIA DE LA REPUBLICA - GESTION GENERAL;;A;1;0;1;4;;;;Nación;10;C;PRIMA TECNICA; 	10.878.000.000 ; 	-   ; 	450.000.000 ; 	10.428.000.000 ; 	-   ; 	10.007.650.473 ; 	420.349.527 ; 	10.007.650.473 ; 	10.007.650.473 ; 	10.007.650.473 ; 	10.007.650.473 
20101;PRESIDENCIA DE LA REPUBLICA - GESTION GENERAL;;A;1;0;1;5;;;;Nación;10;C;OTROS; 	27.404.000.000 ; 	-   ; 	-   ; 	27.404.000.000 ; 	-   ; 	26.306.934.755 ; 	1.097.065.245 ; 	26.306.934.755 ; 	26.306.934.755 ; 	26.306.934.755 ; 	26.306.934.755 
20101;PRESIDENCIA DE LA REPUBLICA - GESTION GENERAL;;A;1;0;1;9;;;;Nación;10;C;HORAS EXTRAS, DIAS FESTIVOS E INDEMNIZACION POR VACACIONES; 	2.668.000.000 ; 	-   ; 	-   ; 	2.668.000.000 ; 	-   ; 	2.477.006.075 ; 	190.993.925 ; 	2.477.006.075 ; 	2.477.006.075 ; 	2.301.376.907 ; 	2.301.376.907 
20101;PRESIDENCIA DE LA REPUBLICA - GESTION GENERAL;;A;1;0;2;;;;;Nación;10;C;SERVICIOS PERSONALES INDIRECTOS; 	3.329.000.000 ; 	-   ; 	-   ; 	3.329.000.000 ; 	-   ; 	2.852.711.383 ; 	476.288.617 ; 	2.852.711.383 ; 	2.848.942.102 ; 	2.681.167.338 ; 	2.681.167.338 
20101;PRESIDENCIA DE LA REPUBLICA - GESTION GENERAL;;A;1;0;5;;;;;Nación;10;C;CONTRIBUCIONES INHERENTES A LA NOMINA SECTOR PRIVADO Y PUBLICO; 	18.943.000.000 ; 	-   ; 	-   ; 	18.943.000.000 ; 	-   ; 	17.218.649.552 ; 	1.724.350.448 ; 	17.218.649.552 ; 	17.214.757.598 ; 	16.087.608.404 ; 	16.087.608.404 
20101;PRESIDENCIA DE LA REPUBLICA - GESTION GENERAL;;A;2;0;3;;;;;Nación;10;C;IMPUESTOS Y MULTAS; 	300.000.000 ; 	-   ; 	169.729.100 ; 	130.270.900 ; 	-   ; 	123.470.900 ; 	6.800.000 ; 	123.470.900 ; 	123.470.900 ; 	123.470.900 ; 	123.470.900 
20101;PRESIDENCIA DE LA REPUBLICA - GESTION GENERAL;;A;2;0;4;;;;;Nación;10;C;ADQUISICION DE BIENES Y SERVICIOS; 	36.617.000.000 ; 	38.065.737.463 ; 	1.176.837.956 ; 	73.505.899.507 ; 	-   ; 	71.432.588.145 ; 	2.073.311.362 ; 	71.432.588.145 ; 	69.949.607.921 ; 	64.722.482.008 ; 	64.722.482.008 
20101;PRESIDENCIA DE LA REPUBLICA - GESTION GENERAL;;A;3;1;1;11;;;;Nación;10;C;FONDO DE PROGRAMAS ESPECIALES PARA LA PAZ : PROGRAMA DESMOVILIZADOS; 	8.391.000.000 ; 	313.470.000.000 ; 	8.412.141.838 ; 	313.448.858.162 ; 	-   ; 	311.832.502.957 ; 	1.616.355.205 ; 	302.259.104.911 ; 	250.241.761.517 ; 	238.997.294.888 ; 	238.997.294.888 
20101;PRESIDENCIA DE LA REPUBLICA - GESTION GENERAL;;A;3;1;1;11;;;;Nación;11;C;FONDO DE PROGRAMAS ESPECIALES PARA LA PAZ : PROGRAMA DESMOVILIZADOS; 	-   ; 	82.972.000.000 ; 	43.357.745.553 ; 	39.614.254.447 ; 	-   ; 	38.034.791.175 ; 	1.579.463.272 ; 	37.738.336.401 ; 	28.295.530.406 ; 	25.960.103.947 ; 	25.960.103.947 
20101;PRESIDENCIA DE LA REPUBLICA - GESTION GENERAL;;A;3;1;1;18;;;;Nación;10;C;PLAN DE PROMOCION DE COLOMBIA EN EL EXTERIOR; 	1.093.500.000 ; 	-   ; 	246.237.463 ; 	847.262.537 ; 	-   ; 	641.568.586 ; 	205.693.951 ; 	641.568.586 ; 	558.991.256 ; 	558.806.829 ; 	558.806.829 
20101;PRESIDENCIA DE LA REPUBLICA - GESTION GENERAL;;A;3;2;1;1;;;;Nación;11;S;CUOTA DE AUDITAJE CONTRANAL; 	423.000.000 ; 	-   ; 	100.942.788 ; 	322.057.212 ; 	-   ; 	322.057.212 ; 	-   ; 	322.057.212 ; 	322.057.212 ; 	322.057.212 ; 	322.057.212 
20101;PRESIDENCIA DE LA REPUBLICA - GESTION GENERAL;;A;3;6;1;1;;;;Nación;10;C;SENTENCIAS Y CONCILIACIONES; 	543.000.000 ; 	2.925.100.000 ; 	-   ; 	3.468.100.000 ; 	-   ; 	3.463.226.651 ; 	4.873.349 ; 	3.463.226.651 ; 	3.463.226.651 ; 	3.463.226.651 ; 	3.463.226.651 
20101;PRESIDENCIA DE LA REPUBLICA - GESTION GENERAL;;A;3;6;1;3;;;;Nación;10;C;FALLOS CORTE INTERAMERICANA DE DERECHOS HUMANOS; 	-   ; 	207.449.900 ; 	-   ; 	207.449.900 ; 	-   ; 	207.449.900 ; 	-   ; 	207.449.900 ; 	82.979.960 ; 	-   ; 	-   
20101;PRESIDENCIA DE LA REPUBLICA - GESTION GENERAL;;A;3;6;3;19;;;;Nación;10;C;OTRAS TRANSFERENCIAS - DISTRIBUCION PREVIO CONCEPTO DGPPN; 	-   ; 	325.470.000.000 ; 	325.470.000.000 ; 	-   ; 	-   ; 	-   ; 	-   ; 	-   ; 	-   ; 	-   ; 	-   
20101;PRESIDENCIA DE LA REPUBLICA - GESTION GENERAL;;A;3;6;3;19;;;;Nación;11;C;OTRAS TRANSFERENCIAS - DISTRIBUCION PREVIO CONCEPTO DGPPN; 	-   ; 	887.804.000.000 ; 	887.804.000.000 ; 	-   ; 	-   ; 	-   ; 	-   ; 	-   ; 	-   ; 	-   ; 	-   
20101;PRESIDENCIA DE LA REPUBLICA - GESTION GENERAL;;A;3;6;3;20;;;;Nación;10;C;OTRAS TRANSFERENCIAS - PREVIO CONCEPTO DGPPN; 	23.052.500.000 ; 	-   ; 	23.052.500.000 ; 	-   ; 	-   ; 	-   ; 	-   ; 	-   ; 	-   ; 	-   ; 	-   
20101;PRESIDENCIA DE LA REPUBLICA - GESTION GENERAL;;A;3;6;3;69;;;;Nación;10;C;TRANSFERENCIAS PARA LA ESTRATEGIA  DE DIFUSION DE LA GESTION GUBERNAMENTAL PARA EL DESARROLLO SOCIAL  Y COMUNITARIO; 	2.067.000.000 ; 	-   ; 	214.355.569 ; 	1.852.644.431 ; 	-   ; 	1.039.771.515 ; 	812.872.916 ; 	1.039.771.515 ; 	987.520.244 ; 	949.086.782 ; 	949.086.782 
20101;PRESIDENCIA DE LA REPUBLICA - GESTION GENERAL;;A;3;6;3;167;;;;Nación;10;C;DECISIONES JUDICIALES, CUASIJUDICIALES O SOLUCIONES AMISTOSAS DE ORGANOS INTERNACIONALES DE DERECHOS HUMANOS - DISTRIBUCION PREVIO CONCEPTO DGPPN; 	-   ; 	175.661.143 ; 	-   ; 	175.661.143 ; 	-   ; 	175.661.143 ; 	-   ; 	175.661.143 ; 	175.661.143 ; 	-   ; 	-   
20101;PRESIDENCIA DE LA REPUBLICA - GESTION GENERAL;;A;3;6;3;171;;;;Nación;11;C;FONDO COLOMBIA EN PAZ (FCP) - DECRETO 691/2017; 	-   ; 	816.832.000.000 ; 	-   ; 	816.832.000.000 ; 	-   ; 	816.832.000.000 ; 	-   ; 	816.832.000.000 ; 	220.876.000.000 ; 	220.876.000.000 ; 	220.876.000.000 
20101;PRESIDENCIA DE LA REPUBLICA - GESTION GENERAL;;C;0201;1000;1;;;;;Nación;11;C;DESARROLLO  DE LA POLÍTICA INTERSECTORIAL DE PREVENCIÓN DE RECLUTAMIENTO  NIVEL NACIONAL; 	178.231.200 ; 	-   ; 	-   ; 	178.231.200 ; 	-   ; 	177.711.474 ; 	519.726 ; 	177.711.474 ; 	177.711.474 ; 	128.250.000 ; 	128.250.000 
20101;PRESIDENCIA DE LA REPUBLICA - GESTION GENERAL;;C;0201;1000;2;;;;;Nación;11;C;FORTALECIMIENTO Y CONSOLIDACION DE LA RESPUESTA ARTICULADA DEL ESTADO COLOMBIANO EN DDHH Y DIH, EN EL MARCO DE LA CONSTRUCCION DE UNA CULTURA EN LA MATERIA NACIONAL; 	500.000.000 ; 	-   ; 	43.000.000 ; 	457.000.000 ; 	-   ; 	457.000.000 ; 	-   ; 	457.000.000 ; 	457.000.000 ; 	166.895.090 ; 	166.895.090 
20101;PRESIDENCIA DE LA REPUBLICA - GESTION GENERAL;;C;0202;1000;1;;;;;Nación;11;C;IMPLEMENTACIÓN DE ESTRATEGIAS EN FAVOR DE LA PRIMERA INFANCIA; 	32.886.962.000 ; 	-   ; 	-   ; 	32.886.962.000 ; 	-   ; 	32.584.163.972 ; 	302.798.028 ; 	32.584.163.972 ; 	17.266.250.829 ; 	17.047.648.529 ; 	17.047.648.529 
20101;PRESIDENCIA DE LA REPUBLICA - GESTION GENERAL;;C;0203;1000;1;;;;;Nación;11;C;DESARROLLO DE LAS ESTRATEGIAS DE LA POLÍTICA PÚBLICA INTEGRAL ANTICORRUPCIÓN; 	3.400.000.000 ; 	-   ; 	1.074.169.737 ; 	2.325.830.263 ; 	-   ; 	2.234.448.561 ; 	91.381.702 ; 	2.101.987.861 ; 	2.056.942.861 ; 	1.595.437.466 ; 	1.595.437.466 
20101;PRESIDENCIA DE LA REPUBLICA - GESTION GENERAL;;C;0204;1000;1;;;;;Nación;11;C;FORTALECIMIENTO DEL FUNCIONAMIENTO DEL SISTEMA NACIONAL DE JUVENTUD; 	239.763.400 ; 	-   ; 	10.000.000 ; 	229.763.400 ; 	-   ; 	219.387.141 ; 	10.376.259 ; 	219.387.141 ; 	219.387.141 ; 	182.718.991 ; 	182.718.991 
